n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
100,10,3,10,False,1.043568755593172,1.0286790071769103
500,10,2,10,False,1.0375321754599514,1.0363634830898072
1000,10,2,10,False,1.0360064814552707,1.037908090319419
1000,10,4,10,False,1.0409127315990157,1.0383178764419123
1000,10,3,10,False,1.0388138029801621,1.0387015528374297
500,10,3,10,False,1.0409362254756336,1.0394483065823876
100,10,2,10,False,1.0378080102513103,1.0400601994118894
500,10,4,10,False,1.0481769722164482,1.0408056081415007
100,10,4,10,False,1.0481179664578264,1.043308597117218
1000,10,5,10,False,1.04608438537118,1.0448818145729186
100,10,5,10,False,1.0505687594787685,1.0481507106326244
500,10,5,10,False,1.0548432395146816,1.0504315751807127
100,9,2,10,False,1.0596494796386986,1.0516632046327172
50,10,5,10,False,1.0734022499061835,1.0516698569840603
50,10,3,10,False,1.073108249500058,1.0531212149338527
1000,9,4,10,False,1.0622604867999812,1.0531462579557072
1000,9,3,10,False,1.058852536046489,1.053404726410964
1000,9,2,10,False,1.0642338137023104,1.0536197491704755
500,9,3,10,False,1.060284427063934,1.0547414482929365
100,9,5,10,False,1.066738514075102,1.0548074123927442
500,9,2,10,False,1.0610061675451508,1.0549463490937727
500,9,4,10,False,1.061101147582177,1.0555536041153546
50,10,4,10,False,1.0745625108029278,1.0582742514201442
1000,9,5,10,False,1.0710827983014943,1.0614423181152206
100,9,4,10,False,1.0712988114530153,1.0621158410727265
50,10,2,10,False,1.1113384590154736,1.0645922873211706
500,9,5,10,False,1.0775437809052275,1.0656759342078523
100,9,3,10,False,1.0932596625060311,1.0657603250294507
50,9,2,10,False,1.082715345250717,1.0660009884963646
50,9,3,10,False,1.084849199799227,1.0737654915864034
50,9,5,10,False,1.0986394611193884,1.075032204411775
1000,8,3,10,False,1.0961657862570588,1.0797963522554193
500,8,2,10,False,1.0985641561171118,1.079991160202307
1000,8,2,10,False,1.098803437542813,1.0822364772622817
10,10,4,10,False,1.1507721612046986,1.0827357524344683
1000,8,5,10,False,1.1025524693381117,1.0834349063819342
1000,8,4,10,False,1.100448694673149,1.0839536226521405
500,8,3,10,False,1.1039416211100617,1.0845060552099706
500,8,5,10,False,1.1010262679690292,1.0845382252104083
500,8,4,10,False,1.1022802054778538,1.084910483556795
50,9,4,10,False,1.1203128061249858,1.087932140444582
50,8,4,10,False,1.1255801599041189,1.0909992647391529
100,8,4,10,False,1.1306390171440086,1.0938347951084828
100,8,3,10,False,1.1169045206211443,1.0939109370276139
50,8,2,10,False,1.1398771576615991,1.0947522323825831
100,8,2,10,False,1.1301667640533728,1.0950420365182667
50,8,5,10,False,1.1351181540545143,1.0971270223852752
100,8,5,10,False,1.1459558313669511,1.1062463372414146
