n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
500,10,2,10,False,1.0988567380472967,1.0616960215533457
1000,10,4,10,False,1.1053429068727676,1.0640103044638198
1000,10,2,10,False,1.1082690318436015,1.0646790391761947
1000,10,3,10,False,1.1086483195808758,1.0648972299297963
500,10,4,10,False,1.1081420505181558,1.0662307658440107
500,10,3,10,False,1.1159015688042975,1.068739708466124
500,10,5,10,False,1.1225711649258292,1.0712771232693277
1000,10,5,10,False,1.1177653996053245,1.0715455748211198
100,10,2,10,False,1.1253561366166656,1.0720497848009072
50,10,4,10,False,1.1095898936514321,1.0723337142091396
100,10,4,10,False,1.1262741324216112,1.0734368688006728
50,10,5,10,False,1.114628583024141,1.0757934925569834
100,10,3,10,False,1.1311675033707445,1.0768386735554323
500,9,2,10,False,1.1305704762624609,1.0773822591683035
1000,9,3,10,False,1.1269011620557718,1.0779422872445241
1000,9,2,10,False,1.1290139109589816,1.0786462660764529
50,10,2,10,False,1.1411198543233092,1.0787437227125327
1000,9,4,10,False,1.1317667755237355,1.080866196341161
100,9,5,10,False,1.1259134283167034,1.0809067851431482
500,9,4,10,False,1.1308398011286585,1.0819867482738514
500,9,3,10,False,1.1356601208686472,1.0826695611755892
100,9,3,10,False,1.1393139367225538,1.0844901851233943
100,9,2,10,False,1.1419971390183388,1.084535237402249
100,10,5,10,False,1.1386270788976125,1.085863746292799
100,9,4,10,False,1.1281869740572263,1.0863968724369077
500,9,5,10,False,1.134249471643798,1.087874679783397
1000,9,5,10,False,1.1408299645300468,1.0893011254845142
50,9,4,10,False,1.1782651735163094,1.0970348498617455
50,9,2,10,False,1.154921853428695,1.0986455031855553
50,9,3,10,False,1.161186706329058,1.0986873005846916
50,9,5,10,False,1.150593425160013,1.0992371839237114
50,10,3,10,False,1.177332661453894,1.1011705079917373
500,8,2,10,False,1.1613239908766009,1.1028972949257074
100,8,2,10,False,1.16784453553815,1.1033480336324921
100,8,3,10,False,1.1650057997150873,1.1033807211096882
1000,8,3,10,False,1.1630169309216296,1.1051396021756572
50,8,4,10,False,1.1694195366258076,1.1070366236035964
100,8,4,10,False,1.15520477568299,1.107114378311005
1000,8,2,10,False,1.1604879035842057,1.1071644793563873
500,8,4,10,False,1.167859931651073,1.1082570236223068
500,8,3,10,False,1.1660952240018023,1.1086793784616005
500,8,5,10,False,1.1669126539371575,1.1087702481187445
1000,8,5,10,False,1.1669034143415944,1.1090121234038695
1000,8,4,10,False,1.1649915242939846,1.1096704034772074
100,8,5,10,False,1.1966792308345953,1.1215975045892135
50,8,3,10,False,1.2189535000346026,1.124128920985121
50,8,2,10,False,1.1912569467737775,1.1256013582708662
50,8,5,10,False,1.1872810269231782,1.1260849632409407
10,9,4,10,False,1.2264521798482166,1.128362459949629
10,10,4,10,False,1.2645298226088757,1.1355615895827542
10,9,5,10,False,1.248045888759547,1.1417210438456449
500,7,3,10,False,1.2229990088861233,1.1467000049117877
100,7,4,10,False,1.222893856143586,1.1470818384649497
500,7,4,10,False,1.2263393673309602,1.1484567373212715
500,7,5,10,False,1.225029004682784,1.1492383048669976
