n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
500,10,2,10,False,1.046269201922476,1.0331971704185898
1000,10,3,10,False,1.0427909551952352,1.034435111864987
1000,10,2,10,False,1.0397855550587678,1.0348051957586417
50,10,2,10,False,1.0588754354985426,1.036004765912107
50,10,5,10,False,1.0394289956246796,1.0368209901667518
500,10,3,10,False,1.0500279168395734,1.03804898247764
1000,10,4,10,False,1.050106492776593,1.0396376095289956
500,10,4,10,False,1.0505048061673485,1.040816044601384
1000,10,5,10,False,1.0559709410338391,1.0449092615516333
500,9,2,10,False,1.0615287779872566,1.045159919785042
100,10,3,10,False,1.0560384184065543,1.0453534792514796
100,10,5,10,False,1.0618134698563149,1.0453820653679222
100,10,4,10,False,1.0698284924844523,1.045842881353734
100,10,2,10,False,1.0670579714686232,1.0465865936004421
500,10,5,10,False,1.0563164956599826,1.0467918345390874
1000,9,2,10,False,1.0627409205013585,1.047102374159558
500,9,4,10,False,1.0623177057360658,1.0510770170984105
50,10,4,10,False,1.066749473106416,1.0513733012710682
500,9,3,10,False,1.0728832576740936,1.0518040920433445
1000,9,3,10,False,1.069752119046778,1.0523913675792815
1000,9,4,10,False,1.0712093629905133,1.0526598369877465
1000,9,5,10,False,1.070810025098896,1.054567926123567
500,9,5,10,False,1.0669248208636517,1.0549525760209675
50,9,5,10,False,1.0731735163144736,1.0555833071197664
100,9,2,10,False,1.0721059563252775,1.0559296022549187
50,10,3,10,False,1.109279698258149,1.0603613532521916
100,9,4,10,False,1.0843038938044716,1.060831016239375
100,9,5,10,False,1.083809757519416,1.065689745096252
100,9,3,10,False,1.1032464627151053,1.0674152065588889
50,9,3,10,False,1.1056556329522607,1.0674288357512771
50,9,4,10,False,1.1220391774879572,1.0741507339602243
50,9,2,10,False,1.1404589611950255,1.074645746049004
1000,8,2,10,False,1.0995221355846712,1.0756661443224265
1000,8,3,10,False,1.1008074525312646,1.075701183321877
500,8,4,10,False,1.1000231213838527,1.0764431572075457
1000,8,4,10,False,1.1034337163535268,1.078604981276499
500,8,3,10,False,1.1086517847504211,1.0807221777026885
100,8,2,10,False,1.1131899324626267,1.0808962591302806
500,8,2,10,False,1.1127494240497608,1.0811130208902688
1000,8,5,10,False,1.109690629065367,1.0827839420421426
100,8,4,10,False,1.1076563626910316,1.0836324847570626
100,8,3,10,False,1.120502816705683,1.084192492315713
500,8,5,10,False,1.111082486074284,1.085625497227285
50,8,3,10,False,1.127348527114585,1.0897043721687905
50,8,4,10,False,1.1229337202292504,1.0910305410898942
50,8,2,10,False,1.119720603364833,1.0948998413974091
100,8,5,10,False,1.1346023791343884,1.0953156599096883
10,9,3,10,False,1.201997903678082,1.099678193394553
10,10,5,10,False,1.1837871464781022,1.1007262315025723
50,8,5,10,False,1.1440232459470385,1.1138080557639372
100,7,3,10,False,1.1775252843572992,1.1227096042518385
10,10,2,10,False,1.2194067385653709,1.1256577467691815
1000,7,3,10,False,1.1778308110113027,1.1261066507240651
1000,7,2,10,False,1.1751599986367938,1.1265030634505502
100,7,4,10,False,1.181662708547358,1.1265642065288057
500,7,3,10,False,1.1777516510241002,1.1272631571392302
500,7,5,10,False,1.1799353738724534,1.1279686224821661
500,7,2,10,False,1.1799371789551292,1.1281358194637063
10,10,4,10,False,1.2352343491928581,1.1291935535848394
1000,7,4,10,False,1.180122447630473,1.1295984180386067
500,7,4,10,False,1.1816742355247951,1.1296548444632548
50,7,4,10,False,1.2016929043125726,1.1299701749693314
1000,7,5,10,False,1.1836346528990451,1.1314036328828636
100,7,2,10,False,1.187795037728761,1.13240432979435
10,9,2,10,False,1.2325783669716406,1.1336235367345402
100,7,5,10,False,1.1868590476034346,1.1340531145147568
50,7,5,10,False,1.2096650435828205,1.1356867920848412
10,8,4,10,False,1.2381516809265714,1.1394722009341707
50,7,3,10,False,1.2188468347048083,1.1413794975760496
50,7,2,10,False,1.2050246159351214,1.1420676112161696
10,9,5,10,False,1.2402545755909535,1.1430209489056786
10,9,4,10,False,1.3101939316531044,1.1519285788555509
10,10,3,10,False,1.2975157838846527,1.1557928120926948
10,8,3,10,False,1.2660011157687028,1.1592311118692198
10,8,2,10,False,1.3026045013664902,1.159933552915032
500,10,2,3,False,1.2248962174845048,1.1628148320994793
100,10,2,3,False,1.2293501673473568,1.1648543730053482
500,10,3,3,False,1.2332620586540863,1.1716779304304485
10,8,5,10,False,1.2625487385096739,1.1735500748059589
1000,10,2,3,False,1.2425551109472885,1.1735828039346818
1000,10,3,3,False,1.2442873625187083,1.17454149637158
500,10,4,3,False,1.2561257028463193,1.178465489362258
1000,10,4,3,False,1.2509428136946548,1.1792400066414883
