n_layers,hidden_layers_size,batch_size,learning_rate,validation_loss,mee
5,500,915,0.001,1.4533187308773945,1.2280043381881567
5,500,128,0.001,1.463047719998489,1.2293260465309905
5,500,64,0.001,1.5355276135086586,1.2399820512969308
5,500,915,0.0001,1.36370201147538,1.244991452012723
3,500,128,0.0001,1.4284368282120803,1.2511824297223897
5,500,128,0.0001,1.5030727595606257,1.2613467981123496
5,100,915,0.0001,1.398819923218382,1.269454701602436
3,100,128,0.0001,1.4141340038221883,1.2753510549599705
3,500,64,0.001,1.5574979451746749,1.283231857929113
1,500,128,0.001,1.4645615015363835,1.2871450941174225
3,500,915,0.001,1.5543246292805093,1.2901910619085766
5,500,64,0.0001,1.5625956096264975,1.2917594926688003
1,500,64,0.0001,1.4392777674052257,1.305301568721329
1,100,128,0.001,1.4656761891596144,1.310906713477807
3,500,128,0.001,1.587064363484199,1.311116250428509
3,500,64,0.0001,1.6134847136074606,1.3111406501034197
1,100,64,0.0001,1.4621113442325466,1.3185488190896284
3,100,915,0.001,1.6045712517991357,1.3286959457713485
1,500,64,0.001,1.5364103638279953,1.3287456277518228
1,500,915,0.001,1.4712861199091603,1.3294830905030959
5,100,64,0.001,1.804231177709718,1.3307078099152536
3,500,915,0.0001,1.4571596555222706,1.3377498249377937
1,100,915,0.001,1.4907277604359088,1.3471090365352765
5,100,128,0.001,1.754483474977921,1.3512707736928995
5,100,128,0.0001,1.6947015763507967,1.3541910776721169
3,100,64,0.0001,1.6563093108808828,1.359932242185634
3,100,915,0.0001,1.4885579573240388,1.3620448420030444
1,500,128,0.0001,1.5159347664873615,1.3712827717798775
1,100,128,0.0001,1.5492456753808872,1.3818170638563632
5,100,915,0.001,1.8811710533783477,1.410421946102883
3,100,128,0.001,1.8531188679126824,1.4163358632908467
1,100,64,0.001,1.700601886459053,1.4296497435489162
3,100,64,0.001,1.8425734896142465,1.4339557122764253
5,100,64,0.0001,2.186026070534974,1.5198127153679184
1,100,915,0.0001,2.234134826295671,1.7217523375976556
1,500,915,0.0001,2.2398681473792013,1.7272710205504616
