n_layers,hidden_layers_size,batch_size,learning_rate,validation_loss,mee
5,500,64,0.001,1.3624855063054688,1.1898414518810307
5,500,915,0.001,1.3687797908161137,1.1911434534649998
5,500,128,0.001,1.350575454345285,1.1982906188885059
3,500,128,0.0001,1.3421045197020716,1.2090324252540767
3,500,915,0.001,1.375489680289959,1.2250818764851725
5,500,915,0.0001,1.3057691988929905,1.2283105653006336
1,500,128,0.001,1.3617042994227129,1.2434359011110034
5,500,64,0.0001,1.462031329355019,1.2495509564730507
3,500,64,0.0001,1.4041710369973623,1.2507632480640813
3,100,128,0.0001,1.3863995873270842,1.258748848291555
3,500,64,0.001,1.4685701530539066,1.2609558528510598
5,100,915,0.0001,1.3669437780456244,1.2675994452383432
5,500,128,0.0001,1.4692241590399826,1.2730747646369405
3,100,915,0.001,1.4772339946028512,1.2763906939490721
3,500,128,0.001,1.4804642359640479,1.27787829101016
1,500,64,0.0001,1.4049682780696369,1.2809718690397165
5,100,915,0.001,1.5802307507405506,1.2865412855633298
1,100,64,0.0001,1.427149907711978,1.29383496009145
1,100,128,0.001,1.4456105433329187,1.2950745669885728
1,500,64,0.001,1.4748940480614916,1.30285930562706
1,500,915,0.001,1.4325984748897103,1.3031441967239599
1,100,915,0.001,1.4447148494340154,1.3089786241253405
5,100,128,0.001,1.6628837929092284,1.3180252044651426
3,500,915,0.0001,1.4411879504173233,1.325071463876801
5,100,128,0.0001,1.5588480289212012,1.3349449121769654
1,100,64,0.001,1.5108740865852512,1.3421021464330778
5,100,64,0.001,1.7604371365336853,1.3440569297553442
3,100,64,0.0001,1.5924312351695924,1.347420454039163
1,500,128,0.0001,1.4912335142195718,1.348117742403317
3,100,915,0.0001,1.4881684768146455,1.3530271149318267
1,100,128,0.0001,1.5055155058930725,1.3603625120125011
3,100,64,0.001,1.6484424601076648,1.365705282938501
3,100,128,0.001,1.8000472686823492,1.4215338963304283
5,100,64,0.0001,1.8389986552027253,1.4523717358199282
1,100,915,0.0001,2.1921302536724294,1.7075593385843366
1,500,915,0.0001,2.1965306802206612,1.707947249704523
