n_layers,hidden_layers_size,batch_size,learning_rate,validation_loss,mee
3,10,64,0.0001,1.3819377664426509,1.2676792366528722
3,50,128,0.0001,1.4114335292230131,1.2713943959123013
2,50,915,0.001,1.4226010262131374,1.2757672612251059
2,50,64,0.0001,1.410286261029344,1.2861086505101447
2,10,915,0.001,1.4042839140151546,1.2861928023571612
2,50,128,0.0001,1.3970017879795293,1.290047770782398
3,10,915,0.001,1.4414649280443628,1.2909544698478228
3,10,128,0.001,1.6072558095848413,1.2935123661947863
3,50,915,0.001,1.4618335885656202,1.301108018138968
1,50,64,0.0001,1.4588438793580922,1.3015085244071958
2,10,64,0.001,1.4881833415163903,1.3052261338818967
1,50,128,0.001,1.4613260827539203,1.3111660057279584
3,50,64,0.0001,1.6086127416356315,1.3153027382116713
2,10,64,0.0001,1.4975931612629634,1.3213985970346476
1,50,915,0.001,1.456343061654871,1.323977365978658
2,10,128,0.001,1.6079388202191298,1.33675031256914
3,10,128,0.0001,1.5397008224593274,1.3408987925196176
2,10,128,0.0001,1.5544189660176162,1.352835256887322
3,50,915,0.0001,1.4991652493541034,1.365149297632367
1,10,64,0.0001,1.5580720248589908,1.3661963226487608
1,50,128,0.0001,1.5524291896893674,1.370800345030767
1,50,64,0.001,1.614776891026249,1.3858277352978972
1,10,64,0.001,1.6411608061795984,1.3896073187374816
3,10,64,0.001,1.8868800658721216,1.4013619114560014
1,10,128,0.001,1.6414415755798937,1.4102342424234142
1,10,128,0.0001,1.6876554150219076,1.4268505886653593
1,10,915,0.001,1.6643586948823614,1.4286005786211702
3,10,915,0.0001,1.641237733151869,1.429675984667406
3,50,128,0.001,1.9162625508310531,1.4709107633816954
2,50,128,0.001,1.9408521924116742,1.4718245453977021
3,50,64,0.001,1.961813806872347,1.4731641956911479
2,50,915,0.0001,1.688880226719995,1.4803700003833324
2,50,64,0.001,2.0118627013712875,1.4934226792999161
2,10,915,0.0001,1.9143194589392265,1.5867907493625333
1,50,915,0.0001,2.2408987811748156,1.7283863590579696
1,10,915,0.0001,2.373018773891861,1.7958504180487183
