n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
100,9,4,10,True,1.2940704313781526,1.1108439257606073
500,9,3,10,True,1.2985954928067298,1.1164980999177874
500,10,2,10,True,1.2987517335203023,1.1174458936467195
1000,10,3,3,True,1.1869973503623237,1.1190800931190967
1000,9,2,10,True,1.3028691151007588,1.1204194665755693
1000,10,2,3,True,1.1915173558744554,1.1212987388374953
1000,9,2,3,True,1.1891634120200598,1.1214118070281542
1000,10,4,10,True,1.3161796413284024,1.1220347896789815
100,10,5,10,True,1.3122955220266193,1.1222657021852738
100,10,4,10,True,1.3102381678375732,1.1223726989881977
1000,10,3,10,True,1.308416113941634,1.1226623515287983
500,9,2,10,True,1.3213050858538304,1.1227721920680942
500,8,4,10,True,1.3161500987987416,1.1230470111595128
1000,9,3,10,True,1.3229528529969894,1.1232523227893196
50,9,4,10,True,1.3353924649534088,1.12339141523987
500,9,3,3,True,1.188667985179628,1.1241340105933102
500,10,3,3,True,1.1963209893441586,1.1243552130571333
1000,8,3,10,True,1.3199637566696676,1.1244548359714264
500,10,2,3,True,1.2011730850508764,1.1245380416732627
100,10,4,3,True,1.2043655372920576,1.1245586113281887
1000,10,2,10,True,1.3139768353266519,1.1245871843660518
500,10,4,3,True,1.1932581247430933,1.1248335444849542
500,10,4,10,True,1.330694169126735,1.125603633843032
500,8,2,10,True,1.3233229882542652,1.125726186506258
1000,10,5,10,True,1.31773851381859,1.126292790670744
500,10,5,10,True,1.3167258090997682,1.1266222012031566
500,10,5,3,True,1.1977242182294159,1.1270613646787344
1000,9,5,10,True,1.3255355762646093,1.1272981035525145
100,9,2,10,True,1.3132599334151018,1.1273551825041819
1000,8,2,10,True,1.3206808141547735,1.1273936342919784
1000,8,4,10,True,1.3218523396738149,1.127452153207356
1000,9,3,3,True,1.2032094688689436,1.1275380275003453
100,8,2,10,True,1.3287596325282687,1.127724347476502
500,9,4,10,True,1.3219950104761338,1.127896447201577
1000,10,4,3,True,1.2030120862845097,1.1279553881870248
500,10,3,10,True,1.3224545466312114,1.1280631001529828
500,9,2,3,True,1.1967449273987623,1.128071011990206
500,8,3,10,True,1.325838656925674,1.1283070290428774
50,10,2,3,True,1.223166785878509,1.128839799595436
500,9,4,3,True,1.194423046794454,1.1288612804206224
1000,8,5,10,True,1.330194352772011,1.128950283253454
1000,9,4,10,True,1.3242127222311746,1.12900026129667
500,8,5,10,True,1.324102570283947,1.1290630452392816
500,9,5,10,True,1.326834554431463,1.1294831404184837
100,10,2,3,True,1.2008539277273114,1.1296507633653636
50,10,4,3,True,1.1864163695240393,1.1298267481122943
1000,10,5,3,True,1.2077597582148123,1.1300417825754365
1000,9,4,3,True,1.2062968836759935,1.1305860179872869
500,7,3,10,True,1.3200506026893275,1.130929589096216
1000,9,5,3,True,1.2047642944971362,1.1313460717953387
500,7,4,10,True,1.3232982439504246,1.133473771653255
100,10,5,3,True,1.2308415442652545,1.1342474789585453
100,10,2,10,True,1.3451580849508629,1.1346532312593567
100,10,3,3,True,1.216218604380756,1.134788020026478
500,9,5,3,True,1.2158375841345725,1.1352737905532657
100,9,3,10,True,1.34714916712764,1.1361541077271111
1000,8,2,3,True,1.2124573324697698,1.136472527373688
100,7,2,10,True,1.3283756761597802,1.1366903751864312
100,9,5,10,True,1.340845626804848,1.1373032407465036
1000,7,2,10,True,1.3350782869260291,1.1377170176078877
1000,7,3,10,True,1.340580707420511,1.1389290206917855
500,7,5,10,True,1.3425171532663986,1.1389487375362226
1000,8,3,3,True,1.2154921917194095,1.1390761094561521
1000,7,4,10,True,1.3349341401170713,1.1394157175474435
50,8,3,10,True,1.3468196709217164,1.1395104787088026
100,8,3,3,True,1.2342576696972711,1.1399290619654578
100,10,3,10,True,1.3354152440704719,1.1399921150640284
100,8,4,10,True,1.339986925805073,1.1402067028031673
500,7,2,10,True,1.3459050953932237,1.140338256497082
100,9,3,3,True,1.2176236027932934,1.1404669116846455
500,8,2,3,True,1.2219148279724092,1.1409015402960203
50,10,4,10,True,1.3344329456511252,1.1416437778344057
1000,8,5,3,True,1.2153068759598291,1.141825638097719
500,8,3,3,True,1.2266725263149958,1.1419736068914959
1000,8,4,3,True,1.2220943795146164,1.1420268559624724
100,8,3,10,True,1.3502672602997352,1.1420607597291326
50,9,2,10,True,1.356919813762525,1.1422597555578733
1000,7,5,10,True,1.3431526399734255,1.142666535222957
100,7,4,10,True,1.3490369606572854,1.1433742104342144
100,9,2,3,True,1.2179675859721824,1.1433767684088811
50,8,5,10,True,1.3766159546597168,1.1436171898249385
50,9,2,3,True,1.2042545731083845,1.1439224556036736
500,8,4,3,True,1.2257312011085724,1.1443267568927833
100,8,5,10,True,1.3794653956970229,1.1472943866126495
100,8,2,3,True,1.2434352944652982,1.1491913571921428
100,7,5,10,True,1.3466513870010912,1.1492448191928244
100,9,5,3,True,1.2234258536311664,1.149413662426146
500,8,5,3,True,1.230312005102673,1.1494577332801594
50,10,5,10,True,1.3956173910718814,1.149465624915613
50,9,4,3,True,1.244564167821604,1.1496394351140953
50,9,3,10,True,1.3863418330747233,1.14998076272486
50,10,5,3,True,1.279415036218531,1.150583860610946
50,10,3,3,True,1.2570450391442924,1.1506477859550406
50,9,5,10,True,1.3617402976265967,1.1512319702343825
50,10,2,10,True,1.38396706159586,1.1514553160788528
50,7,5,10,True,1.3760195797762016,1.1522509929944091
50,9,3,3,True,1.251055760095901,1.1522869547797339
500,7,2,3,True,1.231955781329196,1.1543162577190909
50,8,2,10,True,1.383778288468893,1.1543364134370104
50,7,2,10,True,1.355657086489346,1.1544445608007672
50,7,3,10,True,1.3994615606741867,1.1553601581611752
50,8,4,10,True,1.3870375350370485,1.155448669869429
100,8,5,3,True,1.2578851056416733,1.15693337700192
100,9,4,3,True,1.2720096408179855,1.157091556810808
100,8,4,3,True,1.2615245529601984,1.1573270413244854
100,7,3,10,True,1.3690084499896358,1.1574089757324673
50,10,3,10,True,1.4071698722899484,1.159375339974322
1000,7,2,3,True,1.241429622797439,1.1598298556441728
10,10,5,10,True,1.3524946405308267,1.1600247909065116
500,7,4,3,True,1.254387690065668,1.1623575718048804
500,7,5,3,True,1.243146659358625,1.1624246835537553
