n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
1000,10,2,3,True,1.1499757947588871,1.1025661300734064
500,10,2,3,True,1.1609353782172014,1.108340642780398
500,10,3,3,True,1.1543115403972717,1.108596240717838
1000,9,2,3,True,1.158378728209673,1.1089018217374524
100,10,4,3,True,1.1667653166493719,1.1094185199309092
1000,10,4,3,True,1.1558298710573351,1.1095545240290783
1000,10,3,3,True,1.170300060392476,1.1101080594356079
500,9,4,3,True,1.1565592819268842,1.1103559057184917
500,10,5,3,True,1.1582666433530775,1.110917314327029
500,9,4,10,True,1.2490499800251706,1.1113523689279075
500,10,4,3,True,1.169133842325084,1.112962553421072
500,9,3,3,True,1.1644813851045464,1.1130703027781004
100,10,3,3,True,1.1760537410481442,1.1135698092423856
500,9,2,3,True,1.1724660296481153,1.1142357639031688
1000,9,4,3,True,1.1602463340074536,1.1142920032686165
100,10,2,3,True,1.175537173171717,1.1148218781513235
1000,10,5,3,True,1.1689750563392274,1.115181424124985
1000,9,5,3,True,1.1705399801418577,1.115337958981943
50,8,2,3,True,1.1798747374170067,1.1163570757716406
50,10,3,3,True,1.173211838787995,1.1163571738451172
1000,9,3,3,True,1.173763696250485,1.1164238823885868
500,10,4,10,True,1.2552738048885261,1.1170853421308349
500,10,2,10,True,1.2665589921993703,1.1172146044872706
500,9,3,10,True,1.2628003657998863,1.1172840884221211
50,10,2,3,True,1.211029353570749,1.1173511122537878
100,9,3,10,True,1.2651632645237039,1.1180596898699893
500,8,3,3,True,1.1758597764863372,1.1183339244606538
500,10,5,10,True,1.2610217564708235,1.1184811350264436
1000,10,3,10,True,1.2601209296115132,1.1185456497375352
100,9,4,3,True,1.1830542049482855,1.1187696509737717
500,9,5,3,True,1.1769501980057933,1.1189010556647874
1000,10,2,10,True,1.263295448392676,1.119029848520091
1000,8,2,3,True,1.173914575320575,1.119233626191023
500,9,2,10,True,1.2601025773697092,1.119841854009761
1000,10,4,10,True,1.2614570494238215,1.1200121872292907
1000,10,5,10,True,1.265073197125463,1.1200172738547363
500,8,2,3,True,1.1681169113623846,1.1203025760699372
1000,8,3,3,True,1.1761796242260851,1.1203277986684224
1000,9,3,10,True,1.2639943632250799,1.1206541007723456
1000,9,2,10,True,1.2641997598251369,1.1210595002805428
100,9,3,3,True,1.1706170462590377,1.121603987841073
100,8,5,10,True,1.293093021773496,1.1225412621485804
1000,8,5,3,True,1.1795338334028542,1.123524052408208
100,9,4,10,True,1.2658507174478646,1.1236723732585427
1000,9,5,10,True,1.2691142575770378,1.1242406854048848
500,10,3,10,True,1.2719095201981,1.1242875547049982
1000,8,4,3,True,1.183242886376982,1.1247517802405347
100,10,5,10,True,1.2589132980413649,1.1252246917263549
100,8,3,10,True,1.263769934614161,1.125397911581887
500,8,2,10,True,1.2723973518826066,1.1254510437596468
1000,9,4,10,True,1.2666606306688513,1.1254567947198761
500,8,4,10,True,1.2753205022970397,1.125813818163437
1000,8,3,10,True,1.2735986815719218,1.126104711493096
1000,8,5,10,True,1.2737751774476973,1.1268046554949858
50,9,2,10,True,1.2690391472469402,1.1269206224938195
500,8,4,3,True,1.1902656429576501,1.1274802592530573
1000,8,2,10,True,1.2750261927547215,1.1277400824438337
1000,8,4,10,True,1.2758147702016736,1.1277965901553877
500,8,3,10,True,1.276288345949342,1.127880352068101
100,10,3,10,True,1.278608136317488,1.1284586772851435
100,10,4,10,True,1.2693006417401453,1.128511944797314
100,8,4,3,True,1.1815153513487937,1.12873343599437
100,8,2,3,True,1.1867273815279753,1.1290443175749616
100,9,2,3,True,1.1945606121480523,1.1293908878087857
500,9,5,10,True,1.2796846724025357,1.1296054122649422
50,9,3,10,True,1.283540623549022,1.1299689564011035
50,10,3,10,True,1.27035719565556,1.1301808567300184
100,8,5,3,True,1.1876414659970425,1.1302831667129007
100,10,5,3,True,1.1914973654092778,1.1311014954710787
50,10,5,3,True,1.222040275231726,1.131430253488176
500,8,5,10,True,1.2878566722468057,1.1316784848412005
500,8,5,3,True,1.198896029686798,1.1318632189413724
100,8,2,10,True,1.2978546307538106,1.1321566747424945
50,10,4,3,True,1.2043550026835843,1.1321711772961653
50,9,2,3,True,1.2283312528034696,1.1326226893516553
100,9,5,10,True,1.2910866967861616,1.1338888480487466
50,9,4,10,True,1.2878958900698796,1.134631988655117
100,10,2,10,True,1.2920704922461488,1.1349121994782823
500,7,4,10,True,1.2864146238616991,1.1357408943298661
100,9,5,3,True,1.2196286148285411,1.1360651418313144
1000,7,4,10,True,1.2873966064833322,1.1363007261345666
100,7,5,10,True,1.2776023198987596,1.1363714095553097
500,7,3,10,True,1.2847555739759986,1.136642522905255
500,7,2,10,True,1.288730576705007,1.136832052649911
1000,7,3,10,True,1.2925676234400232,1.136847652208025
50,8,4,3,True,1.2147753320088817,1.1371018366793115
50,8,4,10,True,1.3083197845356833,1.1374583003297958
50,8,3,3,True,1.1990890379932904,1.137730012752626
50,10,4,10,True,1.304375493164686,1.1381148105067413
