C,degree,epsilon,gamma,coef0,validation_loss,mee
1.0,5,0.01,0.1,1,1.5003892159564338,1.2796964384224478
1.0,5,0.001,0.1,1,1.5030343520118223,1.281343017977451
1.0,4,0.01,0.1,1,1.4976532124230757,1.2822797238049537
1.0,4,0.001,0.1,1,1.4983601554805255,1.2833526024089768
0.1,6,0.01,0.1,1,1.5676818297155737,1.2953404496298042
0.1,6,0.001,0.1,1,1.5708077303316694,1.2973717051134774
10.0,4,0.01,0.1,1,1.5444017016647305,1.3221450600413118
10.0,4,0.001,0.1,1,1.5460261078606865,1.3243725284433774
1.0,3,0.01,0.1,1,1.5837090282504405,1.3438262123256495
1.0,6,0.01,0.1,1,1.697387061987396,1.3445632053815604
1.0,3,0.001,0.1,1,1.5843386478249428,1.3446057287086177
1.0,6,0.001,0.1,1,1.6968602924794438,1.3450427504333837
0.1,5,0.01,0.1,1,1.6891674544244903,1.3572517232004364
0.1,5,0.001,0.1,1,1.6906241372952717,1.3584895192212252
10.0,3,0.01,0.1,1,1.6016436325775982,1.3735060113975623
10.0,3,0.001,0.1,1,1.6028673110295375,1.3744500043987518
0.1,4,0.01,0.1,1,1.8289897703998552,1.422195986469812
0.1,4,0.001,0.1,1,1.8302998818680996,1.4222037158136613
10.0,5,0.01,0.1,1,1.9394352406126292,1.4607023312653753
10.0,5,0.001,0.1,1,1.9423566334711135,1.4631134793748726
1.0,2,0.01,0.1,1,1.844515827946734,1.472074889391011
100.0,3,0.01,0.1,1,1.756089807332813,1.4724681472437255
1.0,2,0.001,0.1,1,1.8469788927039954,1.4728752538562222
100.0,3,0.001,0.1,1,1.7618629618952135,1.4744975465136088
0.1,3,0.01,0.1,1,1.9399383476811267,1.4794917313883802
0.1,3,0.001,0.1,1,1.9407204634613424,1.479558845312331
10.0,2,0.01,0.1,1,1.8688331239338074,1.492135582292781
10.0,2,0.001,0.1,1,1.8684426161135044,1.4929430911450678
100.0,2,0.01,0.1,1,1.9321644949427859,1.5322280703887137
100.0,2,0.001,0.1,1,1.9306851047348321,1.53248919724596
0.1,2,0.01,0.1,1,2.1301819088507883,1.5918644350610904
0.1,2,0.001,0.1,1,2.130957773956758,1.5925036068852991
100.0,4,0.01,0.1,1,2.283171130732373,1.6328062990852836
100.0,4,0.001,0.1,1,2.28869740964851,1.63568139343888
10.0,6,0.01,0.1,1,2.8207480256120956,1.7102757599823728
10.0,6,0.001,0.1,1,2.834173798556404,1.7150057513911041
100.0,5,0.01,0.1,1,3.8543041770683337,2.0174667370936743
100.0,5,0.001,0.1,1,3.873850549460875,2.0244547005310083
100.0,6,0.01,0.1,1,6.342854162901874,2.424282911903123
100.0,6,0.001,0.1,1,6.394872004763042,2.434712448997748
