C,degree,epsilon,gamma,coef0,validation_loss,mee
1,5,0.01,0.1,1.0,1.5003892159564338,1.2796964384224478
1,5,0.01,0.1,2.0,1.5574751931291404,1.3241483596020263
1,5,0.01,0.1,0.5,1.666919694601119,1.3393763088621191
1,5,0.01,0.01,2.0,1.7872514334889678,1.447656075493809
1,5,0.01,0.01,1.0,2.0295193123623236,1.580641315591075
1,5,0.01,0.01,0.5,6.046090429864826,2.7246070710958117
1,5,0.01,0.1,0.0,8.655967458267494,3.381634139556083
1,5,0.01,1.0,2.0,22.29434617091309,3.953344254546325
1,5,0.01,1.0,1.0,25.233273519581275,4.302244247943614
1,5,0.01,1.0,0.5,27.422585122876537,4.724413652178259
1,5,0.01,0.01,0.0,42.49360208550194,8.550107260054839
1,5,0.01,1.0,0.0,150.69929661089998,10.859592559669776
