C,degree,epsilon,gamma,coef0,validation_loss,mee
1,5,0.01,0.1,1.0,1.4044694313470993,1.232554144671813
1,5,0.01,0.1,2.0,1.4639159548703518,1.2686681981920533
1,5,0.01,0.1,0.5,1.5864030952028625,1.2951188513310636
1,5,0.01,0.01,2.0,1.7818444108266072,1.4406237240472481
1,5,0.01,0.01,1.0,2.04853101682291,1.5816937136103792
1,5,0.01,0.01,0.5,5.999554589993602,2.6816824166162334
1,5,0.01,0.1,0.0,8.628676712520155,3.3576460901715555
1,5,0.01,1.0,2.0,22.203120601602347,3.8825430259780425
1,5,0.01,1.0,1.0,25.506519247673474,4.194019992743692
1,5,0.01,1.0,0.5,28.80195204156634,4.5662752495355905
1,5,0.01,0.01,0.0,41.630278743732426,8.418980179097748
1,5,0.01,1.0,0.0,162.2731307107063,11.33962849244176
