C,degree,epsilon,gamma,coef0,validation_loss,mee
1,5,0.01,0.1,1.0,1.3070961686457516,1.1760648984116377
1,5,0.01,0.1,0.5,1.448162590973737,1.2415200496994263
1,5,0.01,0.1,2.0,1.4141748157422716,1.2431840771132976
1,5,0.01,0.01,2.0,1.7136273267760849,1.414528941539752
1,5,0.01,0.01,1.0,1.9665457369420254,1.559086546941881
1,5,0.01,0.01,0.5,5.828145780572728,2.663383911962663
1,5,0.01,0.1,0.0,7.960394142984685,3.28378363633982
1,5,0.01,1.0,2.0,19.465376997223533,3.630976477545894
1,5,0.01,1.0,1.0,21.771943169094282,3.919376607147582
1,5,0.01,1.0,0.5,24.582314269273315,4.347240776060213
1,5,0.01,0.01,0.0,41.43480107987149,8.420947290959525
1,5,0.01,1.0,0.0,163.2622616230942,10.765059346140482
