C,degree,epsilon,gamma,coef0,validation_loss,mee
1.0,5,0.01,0.1,1,1.4044694313470993,1.232554144671813
1.0,5,0.001,0.1,1,1.4054680130292272,1.2331367838350773
1.0,4,0.01,0.1,1,1.43919634847609,1.2544598723353375
1.0,4,0.001,0.1,1,1.4421898328311114,1.2560490639573694
10.0,4,0.01,0.1,1,1.4589189033660905,1.268988086988629
10.0,4,0.001,0.1,1,1.4612024457582735,1.2704749163154438
0.1,5,0.01,0.1,1,1.6511367306333942,1.3342790250109597
0.1,5,0.001,0.1,1,1.6542094645287988,1.3354464630796978
10.0,3,0.01,0.1,1,1.5194459530191928,1.3366107013031951
10.0,3,0.001,0.1,1,1.5213797560762634,1.3371401954582136
1.0,3,0.01,0.1,1,1.5701731376958914,1.3389014180368202
1.0,3,0.001,0.1,1,1.5713194600033662,1.3395593855761991
0.1,4,0.01,0.1,1,1.815571786841772,1.4104698662025665
0.1,4,0.001,0.1,1,1.8167315175368208,1.4109534360652127
10.0,5,0.01,0.1,1,1.8696116428136873,1.4124002256824753
10.0,5,0.001,0.1,1,1.8750786909789339,1.4151539629339156
100.0,3,0.01,0.1,1,1.732082817943674,1.4374737976197436
100.0,3,0.001,0.1,1,1.736065473372982,1.440414984944545
1.0,2,0.01,0.1,1,1.8447382654646804,1.4663624634837316
1.0,2,0.001,0.1,1,1.8447306055974928,1.4669314208421416
0.1,3,0.01,0.1,1,1.9477979966798031,1.4682446130861466
0.1,3,0.001,0.1,1,1.9483491421595314,1.468521609651568
10.0,2,0.01,0.1,1,1.8721219026385831,1.4915478232387698
10.0,2,0.001,0.1,1,1.8743578762926583,1.492680548122878
100.0,2,0.01,0.1,1,1.9630407502160017,1.5450490492321574
100.0,2,0.001,0.1,1,1.9623183569792464,1.5454450080256186
100.0,4,0.01,0.1,1,2.242803332672982,1.5742363406638018
100.0,4,0.001,0.1,1,2.2460452055239255,1.5761241737637806
0.1,2,0.001,0.1,1,2.150499144998438,1.582053314584319
0.1,2,0.01,0.1,1,2.1507300070144066,1.5825171007168073
100.0,5,0.01,0.1,1,4.269728781229884,2.0095496563710378
100.0,5,0.001,0.1,1,4.298717705694899,2.015145739379656
