C,gamma,epsilon,validation_loss,mee
10.0,0.1,0.01,1.2555794781322285,1.1560864060171416
10.0,0.1,0.001,1.2568081993761684,1.1570512421404844
100.0,0.1,0.01,1.370803637706959,1.2119873719550764
100.0,0.1,0.001,1.372549575755512,1.2131373936839867
1.0,0.1,0.001,1.3973026088598766,1.2622377853825324
1.0,0.1,0.01,1.397289102330959,1.2624226967009275
100.0,0.01,0.01,1.5469348740747861,1.33425152831351
100.0,0.01,0.001,1.5490447438386303,1.3356779827010692
10.0,0.01,0.001,1.7628231174105018,1.473035612834605
10.0,0.01,0.01,1.762794380382051,1.4732377406137656
10.0,1.0,0.001,3.021344027298803,1.790514278131019
10.0,1.0,0.01,3.0229583394885293,1.7913753962303567
100.0,1.0,0.001,3.07143935002841,1.8152179144969265
100.0,1.0,0.01,3.072187694502825,1.8158222920260163
100.0,0.001,0.01,2.5830095060299905,1.9305815950861818
100.0,0.001,0.001,2.583562143854439,1.9311832660669455
1.0,0.01,0.01,2.9879352802300403,1.9997514515269987
1.0,0.01,0.001,2.9872532507538416,2.00006142864061
0.1,0.1,0.001,4.448171928848537,2.2048409654071737
0.1,0.1,0.01,4.452010633413646,2.2058840731258065
10.0,0.001,0.01,3.6455550000679398,2.2793198851233796
10.0,0.001,0.001,3.6459721015247744,2.2796575185760766
1.0,1.0,0.001,6.096138839496794,2.532369437027409
1.0,1.0,0.01,6.096175267691077,2.5325918649959585
1.0,0.001,0.01,12.039872674328848,4.062822892941644
1.0,0.001,0.001,12.052351205344864,4.065064744248093
0.1,0.01,0.01,13.132356547956602,4.275511235568792
0.1,0.01,0.001,13.1357733177041,4.277382632203899
0.1,1.0,0.01,26.788499794028684,6.542288426336518
0.1,1.0,0.001,26.788685308109816,6.542674409575051
0.1,0.001,0.01,35.25110580011196,7.706664227833202
0.1,0.001,0.001,35.25145488801511,7.706796668923436
100.0,10.0,0.001,36.45199680930503,7.855218188234087
100.0,10.0,0.01,36.45609056177155,7.855822955922175
10.0,10.0,0.001,36.711498609466595,7.8873827080981265
10.0,10.0,0.01,36.71440421430115,7.887875415299956
1.0,10.0,0.01,40.695679794344066,8.339663393450353
1.0,10.0,0.001,40.696082305303335,8.339737927676616
100.0,100.0,0.001,40.809679383704854,8.35432051903853
100.0,100.0,0.01,40.80964330004767,8.354334664054438
10.0,100.0,0.001,40.86958480134896,8.370024118042778
10.0,100.0,0.01,40.869468492181404,8.37002908382933
1.0,100.0,0.01,41.35681897392866,8.414687376620178
1.0,100.0,0.001,41.357303175823546,8.41472848074766
0.1,10.0,0.01,41.38682249578855,8.416720314172402
0.1,10.0,0.001,41.387273758379536,8.41680116342305
0.1,100.0,0.01,41.45559961825353,8.424000794055189
0.1,100.0,0.001,41.45592509617158,8.424004273680103
