C,gamma,epsilon,validation_loss,mee
14.5,0.1,0.01,1.2503410240436077,1.1521907926333266
19.0,0.096,0.01,1.2496182377305414,1.1527086950367196
19.0,0.091,0.01,1.248735040303525,1.1529357383805232
19.0,0.1,0.01,1.2504428930732292,1.1531821188370057
14.5,0.096,0.01,1.2509509771546585,1.153302530408155
23.5,0.087,0.01,1.2492059859199567,1.1537011565370163
23.5,0.091,0.01,1.250486305173212,1.1539123227381265
19.0,0.087,0.01,1.2491168743424506,1.1540763760745114
23.5,0.096,0.01,1.2506137076368729,1.1543112431438893
14.5,0.091,0.01,1.2518849275382007,1.1547315376058662
23.5,0.082,0.01,1.2489252969226705,1.1548993944281924
28.0,0.082,0.01,1.2504295458728816,1.1551410125024382
28.0,0.087,0.01,1.2521086468973173,1.155302088307263
23.5,0.1,0.01,1.251002455351457,1.1554817518242733
14.5,0.087,0.01,1.2535326327856802,1.1557622798410556
28.0,0.091,0.01,1.252405017074499,1.156008519001304
28.0,0.077,0.01,1.2496964731658964,1.1560613897500636
19.0,0.082,0.01,1.2518740250996647,1.1560722129442522
10.0,0.1,0.01,1.2555794781322285,1.1560864060171416
10.0,0.096,0.01,1.2557731737493585,1.156678716993931
23.5,0.077,0.01,1.2510013221952299,1.1567986179592047
32.5,0.082,0.01,1.2534777862236326,1.1568232456715373
32.5,0.077,0.01,1.2519409985796641,1.156875355849094
14.5,0.082,0.01,1.2552392368985175,1.1571271831485765
32.5,0.073,0.01,1.251792699532389,1.1576049490849196
28.0,0.073,0.01,1.2515550858854234,1.157625339845738
28.0,0.096,0.01,1.2528572845621395,1.1576402373634005
32.5,0.087,0.01,1.2541168167194152,1.1576432375459442
19.0,0.077,0.01,1.2547791712974459,1.1578443658269477
37.0,0.077,0.01,1.2545555113031546,1.1580772574087845
10.0,0.091,0.01,1.2563691739950353,1.158130408479456
37.0,0.073,0.01,1.2538950397922246,1.1586532011372774
37.0,0.082,0.01,1.255600357472454,1.1587833069124847
32.5,0.091,0.01,1.254656351907493,1.159154003932707
23.5,0.073,0.01,1.2553639375891585,1.1593347064381114
32.5,0.069,0.01,1.2539637697852684,1.159354263546253
41.5,0.073,0.01,1.2555543165748686,1.1593888966617678
41.5,0.077,0.01,1.2562928361378696,1.1595196710191518
37.0,0.069,0.01,1.2546114360875407,1.1596254014524774
10.0,0.087,0.01,1.257636825296172,1.1599271658299881
19.0,0.073,0.01,1.2576022082631344,1.1600006096024311
28.0,0.1,0.01,1.253975357939151,1.1600656884823093
14.5,0.077,0.01,1.2577744646612392,1.1602531370723812
46.0,0.073,0.01,1.2572492939189233,1.1603255523903921
28.0,0.069,0.01,1.256408957663439,1.160464590543078
41.5,0.069,0.01,1.2561469407503985,1.1604839619578422
46.0,0.069,0.01,1.2568351474931128,1.1607384454335092
37.0,0.087,0.01,1.2565479281428047,1.1608085369043262
46.0,0.077,0.01,1.2584284831610553,1.1611260947570312
23.5,0.069,0.01,1.2581789017685294,1.1612206828638714
50.5,0.069,0.01,1.2581006732428923,1.1612647128693736
41.5,0.082,0.01,1.2580128313001677,1.1613125892097953
50.5,0.073,0.01,1.2588568919499226,1.1615852271995795
32.5,0.096,0.01,1.2551338766255435,1.1617688074604657
55.0,0.069,0.01,1.2591898947493119,1.162033710197593
41.5,0.064,0.01,1.2584584231367548,1.1626977103710265
37.0,0.091,0.01,1.2565389539305585,1.162716710454138
46.0,0.064,0.01,1.2592314102147193,1.1628259366443843
50.5,0.064,0.01,1.2593180746043544,1.162828251140389
37.0,0.064,0.01,1.2590689984031407,1.1628560370223822
55.0,0.064,0.01,1.2598293609791915,1.1631079354115352
32.5,0.1,0.01,1.255461207152982,1.1631125267260036
55.0,0.073,0.01,1.2604819750185796,1.163291671271925
19.0,0.069,0.01,1.260440823865518,1.1633070349713457
14.5,0.073,0.01,1.2603401241871184,1.1633752374628332
50.5,0.077,0.01,1.2598683402916073,1.1634147602384033
32.5,0.064,0.01,1.2608463625386788,1.1634660652847664
59.5,0.069,0.01,1.2609920992699317,1.1635837831891134
59.5,0.064,0.01,1.2608726895626403,1.1636261444472598
10.0,0.082,0.01,1.261513943247861,1.163684793586162
28.0,0.064,0.01,1.2621452666467639,1.1639144745407892
46.0,0.082,0.01,1.2592009289808446,1.1639927743164087
64.0,0.064,0.01,1.2615601109602566,1.1640155646766006
41.5,0.087,0.01,1.2582352623856712,1.164022791732285
68.5,0.064,0.01,1.2623877980741667,1.164790637036514
37.0,0.096,0.01,1.2570795055528379,1.164837030732059
64.0,0.069,0.01,1.2625348421740639,1.1649932894125379
59.5,0.073,0.01,1.2617548508478829,1.1652978026920955
50.5,0.06,0.01,1.2623526827307543,1.1653878885007574
59.5,0.06,0.01,1.2632165793373178,1.1655975985068099
23.5,0.064,0.01,1.2631363480617706,1.1656347100229343
64.0,0.06,0.01,1.263245213250236,1.1656422153938204
46.0,0.06,0.01,1.262268457751697,1.165705089788962
55.0,0.06,0.01,1.2635197108012137,1.1657760402698056
55.0,0.077,0.01,1.2611486547916662,1.1657903484127237
41.5,0.091,0.01,1.2583916548099867,1.1658060542357873
68.5,0.06,0.01,1.2637350471713624,1.1658631091430682
41.5,0.06,0.01,1.2633587316299624,1.1659129008514453
73.0,0.064,0.01,1.2638707249706085,1.1659307892450819
37.0,0.06,0.01,1.2647551412460256,1.1663307753028158
46.0,0.087,0.01,1.25937886937546,1.1665147302476513
50.5,0.082,0.01,1.2606784264760267,1.1665223935996465
68.5,0.069,0.01,1.2635458188104403,1.1665271990075805
73.0,0.06,0.01,1.2644104059849992,1.1665506829947243
77.5,0.06,0.01,1.2650114932498844,1.1669543665543514
77.5,0.064,0.01,1.2651544932029701,1.1669778588264692
32.5,0.06,0.01,1.2660652555695084,1.167021070959121
64.0,0.073,0.01,1.2627214355258862,1.1671139089981066
37.0,0.1,0.01,1.260320651037189,1.1671947507918228
10.0,0.077,0.01,1.2653357661798996,1.1675134870593784
82.0,0.06,0.01,1.2656577288589006,1.1675434771795923
14.5,0.069,0.01,1.2645830849732485,1.1675525852999353
59.5,0.077,0.01,1.2625899305940607,1.1679889801011747
73.0,0.069,0.01,1.2641728361158024,1.1680015201779508
86.5,0.06,0.01,1.2668129128601404,1.1681674363663694
19.0,0.064,0.01,1.266292283643746,1.168249420236254
82.0,0.064,0.01,1.2663357835979505,1.1683936714713994
28.0,0.06,0.01,1.2674497377185285,1.1684411252675608
55.0,0.082,0.01,1.2619770221163398,1.168935885612786
41.5,0.096,0.01,1.2620636935600131,1.1689383161885534
68.5,0.073,0.01,1.2639432619123092,1.16907050831074
91.0,0.06,0.01,1.268072580948831,1.1691044449486503
46.0,0.091,0.01,1.2620023469604502,1.1691937950095859
73.0,0.055,0.01,1.2686415465760348,1.1693634772608488
55.0,0.055,0.01,1.2675406294087026,1.1694445068785968
59.5,0.055,0.01,1.267660028852395,1.1695052575353437
68.5,0.055,0.01,1.2690332833975855,1.1695150289071774
64.0,0.055,0.01,1.2684222552426812,1.1695587803766787
77.5,0.055,0.01,1.2686826444003183,1.1695918557456337
50.5,0.087,0.01,1.2624262702242328,1.1697217470050318
50.5,0.055,0.01,1.26840482104244,1.1698264167141073
23.5,0.06,0.01,1.2683641869805156,1.1698954501997538
82.0,0.055,0.01,1.2691429259620832,1.1698990812700671
86.5,0.064,0.01,1.2675733056987986,1.169926692240514
86.5,0.055,0.01,1.2692563938621868,1.1699834929406132
77.5,0.069,0.01,1.265702867872643,1.170020296700321
