C,gamma,epsilon,validation_loss,mee
23.5,0.1,0.01,1.3807584240317858,1.214091363070939
23.5,0.096,0.01,1.3809513383155736,1.214441502011483
19.0,0.1,0.01,1.382045876447565,1.2144606516834011
28.0,0.1,0.01,1.3832022391059937,1.2163634682799433
19.0,0.096,0.01,1.384123093802453,1.2163666970434308
23.5,0.091,0.01,1.383427406937919,1.2164321283582804
28.0,0.096,0.01,1.383370349500508,1.2165650017032732
28.0,0.091,0.01,1.382702142534311,1.216666194927785
14.5,0.1,0.01,1.3847629630532254,1.2174052804380766
28.0,0.087,0.01,1.3849986962841287,1.2180596268957362
19.0,0.091,0.01,1.385850627992703,1.2184825725391235
23.5,0.087,0.01,1.3857856317828823,1.2185195989752458
14.5,0.096,0.01,1.385575296292372,1.2188183582888654
32.5,0.096,0.01,1.3856618696297414,1.2189113423952023
32.5,0.091,0.01,1.3856303026412038,1.21916638547618
32.5,0.087,0.01,1.385248132466132,1.2193451872113845
32.5,0.1,0.01,1.386934036652717,1.2198945996406947
19.0,0.087,0.01,1.386883007491705,1.2200576392582383
28.0,0.082,0.01,1.387881931783912,1.220178038393361
32.5,0.082,0.01,1.3872843523689091,1.220510010010537
23.5,0.082,0.01,1.3878891311804054,1.220674481899032
14.5,0.091,0.01,1.38727771243088,1.2207462291951003
10.0,0.1,0.01,1.3876422982674446,1.2211904137014762
37.0,0.091,0.01,1.3879911127191622,1.2214997009135689
37.0,0.087,0.01,1.388431270440346,1.2219131008913768
37.0,0.082,0.01,1.388202656556225,1.2219675255893303
37.0,0.096,0.01,1.3888631909112368,1.221989551744936
32.5,0.077,0.01,1.389244440622273,1.22199792897783
28.0,0.077,0.01,1.3900107099462193,1.2223931163013269
10.0,0.096,0.01,1.3877495503258876,1.2224510883394
19.0,0.082,0.01,1.3899399390129867,1.2225971965419962
37.0,0.077,0.01,1.3894963144866759,1.2227476201621308
14.5,0.087,0.01,1.3900019852269025,1.2227637384479675
37.0,0.1,0.01,1.39041464441117,1.2229214989116175
23.5,0.077,0.01,1.3915333583985394,1.2236323232454926
41.5,0.091,0.01,1.3908357915209202,1.2238764404543447
10.0,0.091,0.01,1.3878858611277276,1.2239389803117486
37.0,0.073,0.01,1.3917515041977424,1.2240718067993341
32.5,0.073,0.01,1.3915730988488106,1.224091655113627
41.5,0.087,0.01,1.3911429119133607,1.2241904551980594
41.5,0.082,0.01,1.3912009130560403,1.2245098550321465
41.5,0.077,0.01,1.3918324982711723,1.2247085932573414
41.5,0.096,0.01,1.391927417519949,1.2248015642289816
28.0,0.073,0.01,1.392237538151284,1.2248045302654493
41.5,0.073,0.01,1.3924831730641576,1.224982781977127
14.5,0.082,0.01,1.3931384802342495,1.2253631944605472
10.0,0.087,0.01,1.3881426439750635,1.2257453544363501
46.0,0.087,0.01,1.392820754349538,1.2259307176546794
46.0,0.091,0.01,1.3929236646300867,1.226077023355308
19.0,0.077,0.01,1.3944905319227265,1.2262704293706699
37.0,0.069,0.01,1.3941689764897096,1.226394417964854
41.5,0.069,0.01,1.3948981965750815,1.2266335732611526
32.5,0.069,0.01,1.3940427562317146,1.2267249445916872
46.0,0.082,0.01,1.3938068059673894,1.2267749205651006
46.0,0.077,0.01,1.393744573742536,1.226812578427969
41.5,0.1,0.01,1.3965849299146498,1.226845586383856
23.5,0.073,0.01,1.3949675400792898,1.2269095308961562
46.0,0.073,0.01,1.3952127580163276,1.2274315002234875
46.0,0.069,0.01,1.3959753871729992,1.2274317864812954
50.5,0.087,0.01,1.3944543367185829,1.2275857767983906
46.0,0.096,0.01,1.3973696633890607,1.2280626276092086
50.5,0.082,0.01,1.3953252556143276,1.2282955288224975
28.0,0.069,0.01,1.3960906231916201,1.228305353984793
14.5,0.077,0.01,1.3957117458550976,1.2284571707054677
50.5,0.091,0.01,1.3967529584251037,1.2287096194348348
19.0,0.073,0.01,1.3976511119171553,1.2290104262306099
50.5,0.077,0.01,1.396397606213217,1.2290788507437678
10.0,0.082,0.01,1.3901021710683736,1.2291205205876035
50.5,0.073,0.01,1.3968076423521822,1.2292132179181048
50.5,0.069,0.01,1.3979229631443564,1.2292380792375557
55.0,0.082,0.01,1.3968650215272205,1.2296021961649937
55.0,0.087,0.01,1.397493094468096,1.2299173555691225
41.5,0.064,0.01,1.3982854728600151,1.2299723630033068
46.0,0.064,0.01,1.3989119681765396,1.2301278026987834
37.0,0.064,0.01,1.398003575519699,1.2303188253605275
50.5,0.064,0.01,1.4000766118006887,1.2305201317217784
55.0,0.077,0.01,1.3982340593388105,1.230791668077645
59.5,0.082,0.01,1.397972863216981,1.2308422284936156
46.0,0.1,0.01,1.4036850089405262,1.2309861055098636
23.5,0.069,0.01,1.3998555335444398,1.2310386355557847
55.0,0.073,0.01,1.3987856625623447,1.2311775697911043
55.0,0.064,0.01,1.401227332055469,1.2313547882131581
55.0,0.069,0.01,1.3998144606324479,1.2314303059998069
