C,gamma,epsilon,validation_loss,mee
14.5,0.1,0.01,1.3002107224413597,1.1835370998601857
14.5,0.096,0.01,1.3004982140822001,1.1838576046618117
19.0,0.1,0.01,1.2994844475397909,1.1839842067984052
23.5,0.096,0.01,1.2986005895869424,1.1843066095477561
19.0,0.096,0.01,1.3005144342228314,1.184574826562184
23.5,0.091,0.01,1.2994804116843333,1.1847276494718852
23.5,0.1,0.01,1.2991979177615491,1.1849347537614434
19.0,0.091,0.01,1.3018235427550435,1.1851159141744432
28.0,0.091,0.01,1.2989099445048533,1.1853156583952205
28.0,0.087,0.01,1.2995395112397088,1.1854040275028193
14.5,0.091,0.01,1.3023082995655264,1.185559010275974
10.0,0.1,0.01,1.3041451092984562,1.1855895495432192
23.5,0.087,0.01,1.301254441945203,1.185632433153638
19.0,0.087,0.01,1.3020678437301467,1.1859448522903293
28.0,0.082,0.01,1.301527496907278,1.1865183103308405
32.5,0.082,0.01,1.3006976339491005,1.1866095342020848
28.0,0.096,0.01,1.3010602052691278,1.1866685406890878
10.0,0.096,0.01,1.3055538758810983,1.1870263388203401
23.5,0.082,0.01,1.3032904564443581,1.1872095358930546
32.5,0.087,0.01,1.3013220690376814,1.1872866002156632
28.0,0.1,0.01,1.3033335755484607,1.1878864395225488
14.5,0.087,0.01,1.30521744028742,1.187921777709092
32.5,0.077,0.01,1.3029998302844839,1.1880306365886495
37.0,0.077,0.01,1.3024842794028733,1.1880373363256063
32.5,0.091,0.01,1.3027890837175495,1.1881750795755806
37.0,0.082,0.01,1.302958917270004,1.1883573883764307
19.0,0.082,0.01,1.3060090586588653,1.1888658197416058
28.0,0.077,0.01,1.3048415685553838,1.1889820312709443
41.5,0.077,0.01,1.3044846536993808,1.1893558834462292
41.5,0.073,0.01,1.304258830062617,1.1894107993503744
32.5,0.096,0.01,1.3055053171949642,1.1896272980325795
37.0,0.073,0.01,1.304943860235178,1.1896874937821569
10.0,0.091,0.01,1.3088464483946138,1.1899094750145693
37.0,0.087,0.01,1.3052904911973986,1.1899124578799682
23.5,0.077,0.01,1.3074704574681306,1.1901520608126572
32.5,0.1,0.01,1.3074262557887244,1.1901760016892888
46.0,0.073,0.01,1.306054161729506,1.1903472044916275
32.5,0.073,0.01,1.306306026610839,1.1905592996668493
37.0,0.091,0.01,1.3069470538559214,1.1907556711637455
14.5,0.082,0.01,1.3098535566207685,1.1909441113498676
41.5,0.082,0.01,1.3065993624032568,1.1910339768256355
46.0,0.069,0.01,1.3068835457345196,1.1914380501279207
46.0,0.077,0.01,1.3071671933704205,1.1915586704157473
50.5,0.069,0.01,1.3077341510326452,1.1915971953072162
28.0,0.073,0.01,1.3090594748101954,1.1916410603492145
41.5,0.069,0.01,1.3074893023359866,1.191763561617716
37.0,0.096,0.01,1.3099181495617305,1.1917922864742283
19.0,0.077,0.01,1.3109085103662719,1.1921348225921617
41.5,0.087,0.01,1.3092556053684987,1.192211372531902
37.0,0.069,0.01,1.3084035762453674,1.192340256366205
50.5,0.073,0.01,1.308714212132448,1.1926731634867513
41.5,0.091,0.01,1.3114029709215362,1.1929140796917013
55.0,0.069,0.01,1.3099293122506341,1.1930692485193648
10.0,0.087,0.01,1.3130066823709399,1.1931960747950314
23.5,0.073,0.01,1.3119999467900767,1.1933309870709288
37.0,0.1,0.01,1.3130002350862133,1.1934891885332717
46.0,0.082,0.01,1.3108736879000085,1.1935240974146046
32.5,0.069,0.01,1.311667933896143,1.1938316168880212
55.0,0.064,0.01,1.3106642294232536,1.1939555972919271
50.5,0.064,0.01,1.3104739913693046,1.1940629493981514
59.5,0.064,0.01,1.3119028048742472,1.1941922149971693
50.5,0.077,0.01,1.3114018642197276,1.1943233700588918
46.0,0.087,0.01,1.3137093807344786,1.1943778662084203
