C,gamma,epsilon,validation_loss,mee
10.0,0.1,0.01,1.3041451092984562,1.1855895495432192
10.0,0.1,0.001,1.305310290753468,1.1861361379205984
100.0,0.1,0.01,1.389028331403312,1.2402939661249737
100.0,0.1,0.001,1.3900775189846868,1.2415466716139831
1.0,0.1,0.001,1.4672583247255944,1.2985824025943697
1.0,0.1,0.01,1.4687397877507609,1.298999146607558
100.0,0.01,0.01,1.6088604352171236,1.3644850684017626
100.0,0.01,0.001,1.6114742733027785,1.3665296906633217
10.0,0.01,0.01,1.8365421405388758,1.4937814019670368
10.0,0.01,0.001,1.8386384739238153,1.494973026577997
10.0,1.0,0.001,3.059500425360306,1.8120576404707587
10.0,1.0,0.01,3.0611672316439233,1.8127730297427171
100.0,1.0,0.001,3.18695461393165,1.8626581830584565
100.0,1.0,0.01,3.187125357112948,1.8628371442749816
100.0,0.001,0.01,2.614044135299234,1.9259769598114191
100.0,0.001,0.001,2.6144524010082804,1.9264712599882015
1.0,0.01,0.001,3.057782963694694,2.0109185179920326
1.0,0.01,0.01,3.0594619606905704,2.011592976267638
0.1,0.1,0.01,4.520679052246613,2.2285717042575746
0.1,0.1,0.001,4.52089107356177,2.228865895980035
10.0,0.001,0.001,3.714839950859027,2.2863343499105055
10.0,0.001,0.01,3.71839130298888,2.287139180847333
1.0,1.0,0.001,6.153195845585145,2.561343673485793
1.0,1.0,0.01,6.153012387558753,2.5615152737303553
1.0,0.001,0.001,12.103740109483963,4.056909793713961
1.0,0.001,0.01,12.109221824195268,4.059420135327974
0.1,0.01,0.001,13.188486767118643,4.2606688089090925
0.1,0.01,0.01,13.193399496651129,4.262398474150292
0.1,1.0,0.01,26.932643040969282,6.546401349652409
0.1,1.0,0.001,26.93081691699674,6.546516538729952
0.1,0.001,0.01,35.43452646221761,7.703281950293864
0.1,0.001,0.001,35.43520303461364,7.703333538083883
100.0,10.0,0.001,37.12547534008434,7.923863852059502
100.0,10.0,0.01,37.12916306425028,7.924420004506263
10.0,10.0,0.001,37.34901382129,7.952379652296033
10.0,10.0,0.01,37.3516266745417,7.952834470893589
1.0,10.0,0.01,40.93513331039727,8.344943212183333
1.0,10.0,0.001,40.935830369622806,8.344945950951312
100.0,100.0,0.001,40.96119156415077,8.364658453909113
100.0,100.0,0.01,40.961185217162026,8.364684956789654
10.0,100.0,0.001,40.99579963885354,8.377580677777576
10.0,100.0,0.01,40.995746671854405,8.37760132003075
1.0,100.0,0.01,41.51794810815865,8.413179811207513
1.0,100.0,0.001,41.518852017307665,8.413204521340544
0.1,10.0,0.01,41.569855797443275,8.413770046816667
0.1,10.0,0.001,41.57465430088159,8.413928286204584
0.1,100.0,0.01,41.631482539762644,8.420417700539227
0.1,100.0,0.001,41.636360548042546,8.420698507956264
