n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
10,1,2,10,False,14.294826710925584,4.631380540344903
50,1,2,10,False,13.275941370941899,4.461700479505775
100,1,2,10,False,13.125628712284962,4.440279050503648
500,1,2,10,False,13.145124141219638,4.438791427482133
1000,1,2,10,False,13.077069438266198,4.430386870670383
10,1,3,10,False,13.325836108761276,4.488986093669248
50,1,3,10,False,13.25143370435332,4.459170418146231
100,1,3,10,False,13.1146211347275,4.431848242750501
500,1,3,10,False,13.045733593537909,4.424635302643869
1000,1,3,10,False,13.070039064825389,4.425915164201816
10,1,4,10,False,13.242826029714784,4.459243491024695
50,1,4,10,False,13.18711245070163,4.4456303628740255
100,1,4,10,False,13.021178599999006,4.4181948874273544
500,1,4,10,False,13.014994043709782,4.4153192161055
1000,1,4,10,False,13.0660567036125,4.424734846411008
10,1,5,10,False,13.48071754378239,4.49761075321978
50,1,5,10,False,13.175895269736639,4.445330820331377
100,1,5,10,False,13.11079595410257,4.4375496570032205
500,1,5,10,False,13.0484270368479,4.421804562203711
1000,1,5,10,False,13.095090849638929,4.431176979984083
10,1,2,3,False,15.96188981441998,4.964645017136529
50,1,2,3,False,15.303080794388013,4.8620043656973415
100,1,2,3,False,15.353612598272075,4.846390130383233
500,1,2,3,False,15.192003353900999,4.825651708157762
1000,1,2,3,False,15.117571872546558,4.813689716914695
10,1,3,3,False,17.40668174800207,5.230060025003669
50,1,3,3,False,15.344778645067453,4.851408203057978
100,1,3,3,False,15.297497735169195,4.843431434019664
500,1,3,3,False,15.165983241797356,4.8209336237550735
1000,1,3,3,False,15.253538957287628,4.83813627352918
10,1,4,3,False,15.16007063375812,4.829371124301089
50,1,4,3,False,15.146973181857007,4.841909140555357
100,1,4,3,False,14.759896647793003,4.761948724599649
500,1,4,3,False,15.180377809888578,4.827523954063466
1000,1,4,3,False,15.120602058339534,4.811325634887864
10,1,5,3,False,14.861283564858303,4.717843903550536
50,1,5,3,False,14.922351409048984,4.755790437409854
100,1,5,3,False,15.268288900919407,4.859421000995221
500,1,5,3,False,15.266178286031744,4.839396958298086
1000,1,5,3,False,15.112558408190905,4.813435097679044
10,2,2,10,False,5.47524149916694,2.736071524787199
50,2,2,10,False,5.069325707227306,2.6174326404943162
100,2,2,10,False,5.11739366022402,2.6338313970382083
500,2,2,10,False,4.9878598652567465,2.5939056606188813
1000,2,2,10,False,4.956126181198484,2.585518686046988
10,2,3,10,False,5.350916398404011,2.6741820568341623
50,2,3,10,False,5.233889299067157,2.678349573892152
100,2,3,10,False,4.914056912585583,2.577520981387676
500,2,3,10,False,4.885840895723009,2.57065937621081
1000,2,3,10,False,4.9689630782808845,2.5928845987613
10,2,4,10,False,5.378702173415451,2.7378817185312605
50,2,4,10,False,5.141143540953067,2.6448381462965815
100,2,4,10,False,4.895371163328827,2.568151745252593
500,2,4,10,False,4.959398354910197,2.5870097955651317
1000,2,4,10,False,4.964182269293007,2.5862220191433742
10,2,5,10,False,5.440220891974944,2.6821875444887375
50,2,5,10,False,5.112126329789805,2.6355529801861173
100,2,5,10,False,4.971093668121916,2.587458306173151
500,2,5,10,False,4.9562841868148135,2.5869753785114207
1000,2,5,10,False,4.994884076195142,2.599370752303114
10,2,2,3,False,8.766379840800322,3.5123241806117966
50,2,2,3,False,7.996421227805558,3.378888527877525
100,2,2,3,False,8.0783032614052,3.3925618017877484
500,2,2,3,False,7.8125132881580575,3.3383314144549763
1000,2,2,3,False,7.85361065256375,3.3520736602788737
10,2,3,3,False,8.213251122557965,3.430247403099622
50,2,3,3,False,8.086586983781807,3.4185582770917304
100,2,3,3,False,7.635169241399457,3.291200541861005
500,2,3,3,False,7.7145584582779625,3.318832330781558
1000,2,3,3,False,7.877007584225198,3.3558274117344022
10,2,4,3,False,9.288862733929236,3.6538112188181637
50,2,4,3,False,8.136395354006426,3.393032591176723
100,2,4,3,False,7.7072216863245595,3.316642220292049
500,2,4,3,False,7.687269517039445,3.3164188973891364
1000,2,4,3,False,7.796964870469986,3.342919627820465
10,2,5,3,False,8.820055419666556,3.565924813122234
50,2,5,3,False,8.029362435683993,3.39199950562104
100,2,5,3,False,7.869996032573777,3.358676099750891
500,2,5,3,False,7.7653189326804695,3.3274222600494086
1000,2,5,3,False,7.815287917775579,3.3441002823373682
10,3,2,10,False,3.082243713182666,1.9864832910757029
50,3,2,10,False,2.846528446135899,1.915104538791244
100,3,2,10,False,2.816119725529646,1.892414535247377
500,3,2,10,False,2.734554201691935,1.8706721400401276
1000,3,2,10,False,2.746743212051598,1.8726610075004315
10,3,3,10,False,3.12068524093783,1.9514162775599442
50,3,3,10,False,2.791628031021489,1.877496911843879
100,3,3,10,False,2.7535792050983825,1.872763176754451
500,3,3,10,False,2.7437795511923677,1.8702575933732541
1000,3,3,10,False,2.7343928716510932,1.8668075414670624
10,3,4,10,False,3.0151927257925224,1.97627232031274
50,3,4,10,False,2.8705422703296284,1.9148348989529234
100,3,4,10,False,2.753775418635545,1.878936046684585
500,3,4,10,False,2.745430291550263,1.871176445325423
1000,3,4,10,False,2.739321294668797,1.8732671702410106
10,3,5,10,False,3.164275396085413,1.997828277593384
50,3,5,10,False,2.784696425922773,1.8903641618254585
100,3,5,10,False,2.777584653286882,1.8816403972234272
500,3,5,10,False,2.7394519426766704,1.8706925708569437
1000,3,5,10,False,2.7210498000861763,1.8659873498353372
10,3,2,3,False,5.76607419545924,2.801798497196194
50,3,2,3,False,4.710855450493657,2.5314351407250513
100,3,2,3,False,4.9509335001010815,2.595338958905383
500,3,2,3,False,4.644093404933408,2.509353064385754
1000,3,2,3,False,4.7410414789543776,2.5351290921392584
10,3,3,3,False,5.011156294525312,2.624251026871662
50,3,3,3,False,5.057703052521644,2.608449420298567
100,3,3,3,False,4.724853537789578,2.519581649739025
500,3,3,3,False,4.728995154079287,2.53350551855116
1000,3,3,3,False,4.676023767823669,2.515497546086746
10,3,4,3,False,4.979918965519409,2.605463670668085
50,3,4,3,False,4.677233666167992,2.5248139857360825
100,3,4,3,False,4.776141098493261,2.538274326984499
500,3,4,3,False,4.708681389331056,2.5223072913930866
1000,3,4,3,False,4.661474617216724,2.513676452363553
10,3,5,3,False,4.79036820590271,2.518327111794204
50,3,5,3,False,4.502705764822784,2.4433464718997477
100,3,5,3,False,4.657771007697949,2.5215240246558737
500,3,5,3,False,4.678551249246044,2.5231992074109604
1000,3,5,3,False,4.741236931103904,2.5308494773705674
10,4,2,10,False,2.142699314550296,1.61784292993392
50,4,2,10,False,1.935094376917004,1.5411021995088383
100,4,2,10,False,1.9209075058299896,1.5295779190250964
500,4,2,10,False,1.8700381413360483,1.5131113135930847
1000,4,2,10,False,1.8765456109972538,1.5157752157509001
10,4,3,10,False,2.0028183242262037,1.5652000189244566
50,4,3,10,False,1.8801029973232517,1.524136509106183
100,4,3,10,False,1.9260787784692204,1.5365774907946397
500,4,3,10,False,1.8741437294393721,1.5155265045737032
1000,4,3,10,False,1.8693491218719411,1.5112978747759438
10,4,4,10,False,2.1366289900643807,1.63181520405955
