n_layers,hidden_layers_size,batch_size,learning_rate,validation_loss,mee
1,10,915,0.0001,4.194745892561854,2.381474781415509
1,50,915,0.0001,4.063706514061178,2.325249833874635
1,100,915,0.0001,4.024818979481842,2.3016565429696443
2,10,915,0.0001,3.1524818331025344,2.084361718246069
2,50,915,0.0001,3.181053253656804,2.0632300225255547
2,100,915,0.0001,2.983701032567519,1.986805235769431
3,10,915,0.0001,2.6878644651027757,1.917507102506188
3,50,915,0.0001,2.481730430377453,1.8236548312568663
3,100,915,0.0001,2.49741297012593,1.825463984832236
1,10,915,0.001,2.1291077707702,1.697210852696704
1,50,915,0.001,1.9743793753350962,1.612511519169889
1,100,915,0.001,1.8015276393047948,1.530219098506331
2,10,915,0.001,1.6104673185917455,1.4158064509375812
2,50,915,0.001,1.4856590064126591,1.3518614771961968
2,100,915,0.001,1.4441817961141976,1.3306413680968912
3,10,915,0.001,1.5252499610211518,1.3582197230999862
3,50,915,0.001,1.3735746564352893,1.2740523624486069
3,100,915,0.001,1.3389363003050718,1.2493445331115414
1,10,64,0.0001,2.0506712621352343,1.652508245151304
1,50,64,0.0001,1.862784008525845,1.5620617466852358
1,100,64,0.0001,1.8289694005720956,1.5438386718901507
2,10,64,0.0001,1.6903920630216722,1.4788288462570096
2,50,64,0.0001,1.5305856259919783,1.3698078971014314
2,100,64,0.0001,1.4099052729871688,1.3038502072732083
3,10,64,0.0001,1.5033505455710197,1.3447069176174125
3,50,64,0.0001,1.3127790815699811,1.2462129940233304
3,100,64,0.0001,1.3629519103126078,1.2558517711473138
1,10,64,0.001,1.6925525178474097,1.44107692183347
1,50,64,0.001,1.3810442373277323,1.2665149565511888
1,100,64,0.001,1.3944558701848346,1.2845933179666957
2,10,64,0.001,1.5219894440158268,1.3160030926413775
2,50,64,0.001,1.4484700242715478,1.2912154791783295
2,100,64,0.001,1.4856988450388489,1.3138661349514575
3,10,64,0.001,1.5249016577224515,1.2993675101043585
3,50,64,0.001,1.7427449326961277,1.3647383905316768
3,100,64,0.001,1.5513121843621163,1.3020415782132244
1,10,128,0.0001,2.2780893460004723,1.7523251235614221
1,50,128,0.0001,2.2784504835476125,1.7393282669324341
1,100,128,0.0001,2.1784498691476717,1.7035772936270803
2,10,128,0.0001,1.85362730231466,1.5617656951110905
2,50,128,0.0001,1.628187385379573,1.4393588089773874
2,100,128,0.0001,1.6495053586872968,1.4487022212778145
3,10,128,0.0001,1.6981231448294098,1.4633122619304282
3,50,128,0.0001,1.4679387764710565,1.34488245815375
3,100,128,0.0001,1.429839716108203,1.319765116368238
1,10,128,0.001,1.5823270710440458,1.40025741721389
1,50,128,0.001,1.4653046818098423,1.3262662333737478
1,100,128,0.001,1.4042449214136883,1.2897146322946205
2,10,128,0.001,1.4530500454333106,1.3031739176926143
2,50,128,0.001,1.3819304107014228,1.2650918482131066
2,100,128,0.001,1.3309991757717727,1.2289538202092911
3,10,128,0.001,1.4195403896116052,1.2648124104905833
3,50,128,0.001,1.5574031791089964,1.2983930479289425
3,100,128,0.001,1.5261036919673647,1.2913156738396663
