n_layers,hidden_layers_size,batch_size,learning_rate,validation_loss,mee
1,10,915,0.0001,5.462222869316626,2.7546918860976506
1,50,915,0.0001,4.969140616513138,2.615806638198528
1,100,915,0.0001,4.973159387989428,2.6109881754160473
2,10,915,0.0001,4.597521863837765,2.524036211231201
2,50,915,0.0001,3.858107312749276,2.292663147213379
2,100,915,0.0001,3.8840958138828463,2.272777865651889
3,10,915,0.0001,3.7589273929318905,2.3041273862147156
3,50,915,0.0001,3.3217303476019313,2.0955190548686673
3,100,915,0.0001,3.098540036804036,2.029071760834229
1,10,915,0.001,2.3997871577496714,1.7919474845252037
1,50,915,0.001,2.3160018893428678,1.753649263461311
1,100,915,0.001,2.276774113028881,1.7404234540159143
2,10,915,0.001,1.9906892708886046,1.6188351308244324
2,50,915,0.001,1.7747791571910658,1.5178027941831362
2,100,915,0.001,1.6979441717357304,1.4804136572621251
3,10,915,0.001,1.7502626114346618,1.4785163724380588
3,50,915,0.001,1.5116409023831743,1.374553905254028
3,100,915,0.001,1.4899756652315814,1.3562280593577332
1,10,64,0.0001,2.2425075674937673,1.7304499086298921
1,50,64,0.0001,2.2386298646149787,1.7315274616388736
1,100,64,0.0001,2.2165228796225085,1.7204096014077936
2,10,64,0.0001,1.863470217472497,1.547848630277177
2,50,64,0.0001,1.675089909190514,1.4571754008384457
2,100,64,0.0001,1.6286097345056714,1.431062109959548
3,10,64,0.0001,1.9986412822056072,1.6094568554501716
3,50,64,0.0001,1.4455353501182164,1.332106555450743
3,100,64,0.0001,1.428306619624599,1.3191798912241763
1,10,64,0.001,1.5898788028022721,1.3904619359742953
1,50,64,0.001,1.439098226954851,1.3070688715215795
1,100,64,0.001,1.4501632693341182,1.312395660732704
2,10,64,0.001,1.4849615538756555,1.3376438639799038
2,50,64,0.001,1.3534192810798635,1.2497294001505397
2,100,64,0.001,1.363148805935896,1.2573121910184388
3,10,64,0.001,1.4388525386533646,1.2778742490166848
3,50,64,0.001,1.4585454715315678,1.2979602309675669
3,100,64,0.001,1.414508219997455,1.2542818663352375
1,10,128,0.0001,3.1156565213822747,2.064691287895859
1,50,128,0.0001,2.912757643015222,1.9715221210189307
1,100,128,0.0001,2.906667518873083,1.9683119937223765
2,10,128,0.0001,2.235638079324659,1.7356548474110574
2,50,128,0.0001,2.06754205440723,1.6567302410830813
2,100,128,0.0001,2.053838682654559,1.6528570047377853
3,10,128,0.0001,1.881727322127411,1.569768524124663
3,50,128,0.0001,1.7012299455122222,1.470675382355324
3,100,128,0.0001,1.6780276789834034,1.4690225984379692
1,10,128,0.001,1.631632690436266,1.4136306727635586
1,50,128,0.001,1.5275648969225968,1.3649922148904206
1,100,128,0.001,1.5136952412106095,1.3676937472619337
2,10,128,0.001,1.5070885137081032,1.327234217546833
2,50,128,0.001,1.3528524429996143,1.2620438954178057
2,100,128,0.001,1.3437645571492833,1.254499113263044
3,10,128,0.001,1.4220010487457115,1.287236818973196
3,50,128,0.001,1.3574383684996616,1.2323218140085728
3,100,128,0.001,1.3385967675505472,1.218459817939408
