n_estimators,max_depth,min_samples_split,max_features,bootstrap,validation_loss,mee
10,1,2,10,True,15.30723218841901,4.825008329717435
50,1,2,10,True,14.768472252723216,4.743694466030195
100,1,2,10,True,14.962882364383784,4.7716393896312175
500,1,2,10,True,14.789196158269958,4.743102405230083
1000,1,2,10,True,14.79393495932397,4.743937174035289
10,1,3,10,True,14.913807993494185,4.7615594307206885
50,1,3,10,True,14.593106562208751,4.705234648555364
100,1,3,10,True,14.888340133917692,4.758659921257056
500,1,3,10,True,14.837595688151728,4.751629290010593
1000,1,3,10,True,14.832176445240467,4.750031984879005
10,1,4,10,True,15.03028667962117,4.773218567034849
50,1,4,10,True,14.773500765031702,4.736752065730659
100,1,4,10,True,14.842115563920276,4.750069140920982
500,1,4,10,True,14.85987336986852,4.755015053124833
1000,1,4,10,True,14.827411622217975,4.749497999811561
10,1,5,10,True,15.088087298531866,4.782915339128897
50,1,5,10,True,14.94202278953453,4.768526842347571
100,1,5,10,True,14.687243505277893,4.723344384112392
500,1,5,10,True,14.80271800580497,4.744333307697831
1000,1,5,10,True,14.795516265704729,4.744356691374155
10,1,2,3,True,13.72538061259143,4.55275675789406
50,1,2,3,True,13.345601692213021,4.487949871192693
100,1,2,3,True,13.587625098451246,4.532586560745869
500,1,2,3,True,13.504037464616237,4.51966121746853
1000,1,2,3,True,13.515339177969244,4.518930802828848
10,1,3,3,True,14.020789544308233,4.5918354819741
50,1,3,3,True,13.75821053729899,4.5605050228092106
100,1,3,3,True,13.66700912745976,4.545132494643012
500,1,3,3,True,13.489829601071314,4.514561709363913
1000,1,3,3,True,13.51380556971098,4.518017380089295
10,1,4,3,True,14.568077468586798,4.671349961307387
50,1,4,3,True,13.576176592858504,4.528363068693251
100,1,4,3,True,13.56918256802992,4.528326079527135
500,1,4,3,True,13.468886911532664,4.511858822262432
1000,1,4,3,True,13.468857763874068,4.510984988040217
10,1,5,3,True,13.794495042188109,4.5682238539011175
50,1,5,3,True,13.597533377780572,4.528989246093926
100,1,5,3,True,13.543837052652576,4.525701985288523
500,1,5,3,True,13.458201290163244,4.508696840140674
1000,1,5,3,True,13.499228704153323,4.515701173842663
10,2,2,10,True,4.689649432514512,2.54566550396421
50,2,2,10,True,4.40835791347343,2.492121409200516
100,2,2,10,True,4.528431336513051,2.5344690390548625
500,2,2,10,True,4.388229541894433,2.4888648801287316
1000,2,2,10,True,4.398469162256614,2.494297090053625
10,2,3,10,True,4.697410917448854,2.547793600750753
50,2,3,10,True,4.515093879416088,2.5273524896810313
100,2,3,10,True,4.477253964502013,2.519646502994896
500,2,3,10,True,4.39472005210998,2.4962191120457122
1000,2,3,10,True,4.443033089583028,2.5047227113245545
10,2,4,10,True,4.555004080558398,2.5349715638097
50,2,4,10,True,4.495731187494865,2.526970958407033
100,2,4,10,True,4.334683232201658,2.461685191948686
500,2,4,10,True,4.4465163937179195,2.509716616372957
1000,2,4,10,True,4.445797049470124,2.50850529089119
10,2,5,10,True,5.094039575710684,2.665409820124483
50,2,5,10,True,4.581433578219496,2.5290597424162136
100,2,5,10,True,4.394262992141153,2.4973394818258208
500,2,5,10,True,4.389632536399969,2.488846146756864
1000,2,5,10,True,4.431073344739565,2.5020075079475252
10,2,2,3,True,4.322959581526983,2.402812609277306
50,2,2,3,True,4.072614117218306,2.3496039100972714
100,2,2,3,True,4.019842552205754,2.306805083342237
500,2,2,3,True,4.056731547698091,2.323919672054499
1000,2,2,3,True,4.042639020580905,2.3147651129996007
10,2,3,3,True,4.87683818440831,2.4918773211374647
50,2,3,3,True,4.20508573470591,2.3674968866778365
100,2,3,3,True,4.079609764418759,2.3309416459152925
500,2,3,3,True,4.07451806467945,2.329716065336782
1000,2,3,3,True,4.024841012832138,2.3130704880656587
10,2,4,3,True,4.8697019510148944,2.5551946308669677
50,2,4,3,True,4.168140774786821,2.3451365801798203
100,2,4,3,True,4.063381625824174,2.320661757645797
500,2,4,3,True,4.070217151773631,2.3289978424537225
1000,2,4,3,True,4.032679315977441,2.318561925662181
10,2,5,3,True,4.616888544962511,2.465669575810461
50,2,5,3,True,4.124540956778288,2.3336055219595355
100,2,5,3,True,4.029184664225644,2.320172368646133
500,2,5,3,True,4.011951176461416,2.3131319592325963
1000,2,5,3,True,4.034491537133413,2.3207622207294722
10,3,2,10,True,2.698937117805606,1.846131507538224
50,3,2,10,True,2.5200494139984873,1.807414296035071
100,3,2,10,True,2.4908608786360578,1.8008098310801541
500,3,2,10,True,2.4138452206874277,1.7816788356656683
1000,3,2,10,True,2.452150596724029,1.788394367571964
10,3,3,10,True,2.654179917289881,1.8797715963715864
50,3,3,10,True,2.4934513291905662,1.8009059476712668
100,3,3,10,True,2.4190183152700704,1.778051895067209
500,3,3,10,True,2.4370660584580066,1.788453062306571
1000,3,3,10,True,2.450207685182409,1.792319062377963
10,3,4,10,True,2.6083911439929435,1.8346272228838747
50,3,4,10,True,2.5260704895957953,1.8211671078283684
100,3,4,10,True,2.419492042931426,1.7894670790925786
500,3,4,10,True,2.472984638511888,1.798170991814604
1000,3,4,10,True,2.4532440775725646,1.793752314715329
10,3,5,10,True,2.710992745650287,1.881490015760312
50,3,5,10,True,2.432998762882425,1.7824629837563342
100,3,5,10,True,2.406545581613087,1.770296034502498
500,3,5,10,True,2.4444086558801943,1.7891501525063191
1000,3,5,10,True,2.436447515117735,1.7882495183051603
10,3,2,3,True,2.5120427432900114,1.8027476379621672
50,3,2,3,True,2.2399825048088116,1.696196861229933
100,3,2,3,True,2.2767345506259655,1.7064925846248353
500,3,2,3,True,2.2732007463677717,1.7013036551729066
1000,3,2,3,True,2.2683880643999035,1.7012696537209393
10,3,3,3,True,2.625673349377606,1.829546258934391
50,3,3,3,True,2.3474442851166097,1.7369037462484136
100,3,3,3,True,2.274603462098401,1.7036365731743273
500,3,3,3,True,2.2787063823728135,1.7026407740964113
1000,3,3,3,True,2.2721864393428866,1.69592659624146
10,3,4,3,True,2.669927636367208,1.8368482110287894
50,3,4,3,True,2.3217805459917824,1.723620760110393
100,3,4,3,True,2.3104747020321597,1.7190620514166597
500,3,4,3,True,2.2618866858634497,1.6944203965846383
1000,3,4,3,True,2.266552034313189,1.6975990559525007
10,3,5,3,True,2.682490672683028,1.8358525100072511
50,3,5,3,True,2.326700610121833,1.7284835375621905
100,3,5,3,True,2.2933051031241845,1.7088291299546634
500,3,5,3,True,2.286539726021413,1.7071097214367175
1000,3,5,3,True,2.268478421836089,1.7006850347626306
10,4,2,10,True,1.8739133267533015,1.4553011095386417
50,4,2,10,True,1.729954662864501,1.4292653734534986
100,4,2,10,True,1.7519470054029154,1.431346108557591
500,4,2,10,True,1.7246791107606272,1.4236797902232818
1000,4,2,10,True,1.7175873520882234,1.4217952501762037
10,4,3,10,True,2.007359152046683,1.5118470741116732
50,4,3,10,True,1.7711142793243486,1.4367575736345244
100,4,3,10,True,1.7249973764725048,1.4248272852872426
500,4,3,10,True,1.7216115762254312,1.422127946922196
1000,4,3,10,True,1.7209222672181903,1.4240817820390024
10,4,4,10,True,1.990087713052083,1.5139660759952949
50,4,4,10,True,1.770497701779034,1.4349224768423805
100,4,4,10,True,1.7349380708931605,1.4383334979162137
500,4,4,10,True,1.7358368708433205,1.4304606730378981
1000,4,4,10,True,1.7164236757322706,1.4234072533522717
10,4,5,10,True,1.845748986109802,1.462279692157335
50,4,5,10,True,1.7606907121789206,1.44616460744849
100,4,5,10,True,1.7424817942453348,1.4298530266371032
500,4,5,10,True,1.724618526215248,1.4252742682108577
1000,4,5,10,True,1.7212215179703254,1.4236304092422334
10,4,2,3,True,1.7830079687193605,1.481023848140412
50,4,2,3,True,1.7322488324140515,1.4481539782921875
100,4,2,3,True,1.6747301181534504,1.4323709427451563
500,4,2,3,True,1.6480151987627516,1.426848590617907
1000,4,2,3,True,1.6512316147184762,1.425283377124398
10,4,3,3,True,1.9991399976669353,1.554804037289253
50,4,3,3,True,1.7148083204165327,1.4650286680027345
100,4,3,3,True,1.6539668473864984,1.4219964977101895
500,4,3,3,True,1.667124841482757,1.4316947260032968
1000,4,3,3,True,1.6603092822715575,1.4269717148286964
10,4,4,3,True,1.9046428178524641,1.494006937525145
50,4,4,3,True,1.6941205858128283,1.438376970182989
100,4,4,3,True,1.663937086401147,1.427233673499877
500,4,4,3,True,1.6418097663816595,1.4192821063329217
1000,4,4,3,True,1.6626941441473315,1.4288535530719513
10,4,5,3,True,1.9705841056657736,1.5405469777532441
50,4,5,3,True,1.7324416953931379,1.4515733793778578
100,4,5,3,True,1.6703691869724677,1.430896823328165
500,4,5,3,True,1.6672386120747553,1.4337805846015554
1000,4,5,3,True,1.658007919400956,1.4252687639231167
10,5,2,10,True,1.5946154699609678,1.3014224988187166
50,5,2,10,True,1.454178575675712,1.235942769192933
100,5,2,10,True,1.461347658955619,1.2502995863926718
500,5,2,10,True,1.4495230267982468,1.2490265720792324
1000,5,2,10,True,1.4363324327076312,1.2425810781286002
10,5,3,10,True,1.6190808856313768,1.3147889234277608
50,5,3,10,True,1.4629588007164416,1.247997038449201
100,5,3,10,True,1.4673399628326205,1.2581772657043582
500,5,3,10,True,1.4340970434863296,1.2448424411874297
1000,5,3,10,True,1.4390822110033112,1.2448698805084146
10,5,4,10,True,1.5498557241093585,1.3018684883010683
50,5,4,10,True,1.4525892926300017,1.2501035058555452
100,5,4,10,True,1.42497018721465,1.249642848007566
500,5,4,10,True,1.4441777896232149,1.248615174870488
1000,5,4,10,True,1.4419718131983004,1.2456946872461885
10,5,5,10,True,1.6766296162847751,1.3314072631478595
50,5,5,10,True,1.4518824527927459,1.2574106984204263
100,5,5,10,True,1.4624202886485393,1.2573909547526212
500,5,5,10,True,1.4251764557882178,1.2454748079863758
1000,5,5,10,True,1.4416389312304452,1.2456883984812146
10,5,2,3,True,1.580141651687295,1.3515399300908257
50,5,2,3,True,1.4240686509310192,1.2934555453576488
100,5,2,3,True,1.4228350574850301,1.2943579971268806
500,5,2,3,True,1.380757398406863,1.2716211303947265
1000,5,2,3,True,1.384590012132971,1.2709490392024474
10,5,3,3,True,1.5326994262521185,1.3273815110510239
50,5,3,3,True,1.456689590675985,1.3008423611679192
100,5,3,3,True,1.4122429618501608,1.2833030487952817
500,5,3,3,True,1.3762128452387927,1.271012811540093
1000,5,3,3,True,1.3868095439401358,1.273645063110987
10,5,4,3,True,1.57629141793504,1.3500310265854842
50,5,4,3,True,1.4210610763369593,1.286087184599021
100,5,4,3,True,1.3938051444643464,1.265975919110487
500,5,4,3,True,1.3911401637851697,1.2784184271088046
1000,5,4,3,True,1.3844368822747155,1.2721653852333081
10,5,5,3,True,1.544668873251306,1.326894490904725
50,5,5,3,True,1.408292539050268,1.2904912019762915
100,5,5,3,True,1.391285436070975,1.2703298061463886
500,5,5,3,True,1.3716014548407154,1.2668673591037418
1000,5,5,3,True,1.3708006958645254,1.2657705994756003
10,6,2,10,True,1.4655120605152223,1.220236272101558
50,6,2,10,True,1.3482393039022762,1.1784805138069394
100,6,2,10,True,1.3333198197901324,1.1656871786904401
500,6,2,10,True,1.3113972998830958,1.1584271294925892
1000,6,2,10,True,1.3105189673967006,1.1564150836043445
10,6,3,10,True,1.4508591852067518,1.2168881873399073
50,6,3,10,True,1.3417257305462722,1.1724614432549714
100,6,3,10,True,1.341757644490055,1.1687340296697506
500,6,3,10,True,1.3084082746811876,1.1559979255093265
1000,6,3,10,True,1.3199086149699395,1.1603788453686794
10,6,4,10,True,1.4709905020163165,1.2061601215053952
50,6,4,10,True,1.3294273353107187,1.1677933786282189
100,6,4,10,True,1.3347032192791513,1.1617304298272264
500,6,4,10,True,1.3156777441229555,1.1596496931986195
1000,6,4,10,True,1.3078486834821703,1.156426850406368
10,6,5,10,True,1.520582531018019,1.2203765553654216
50,6,5,10,True,1.3228048386902092,1.1745864465780493
100,6,5,10,True,1.3295809423937976,1.1623062510127882
500,6,5,10,True,1.329502169646529,1.1605758908880852
1000,6,5,10,True,1.3090977786389049,1.1565919461090624
10,6,2,3,True,1.3535383277717017,1.2329159823302993
50,6,2,3,True,1.2650396224893337,1.1947237567069982
100,6,2,3,True,1.2451382124315062,1.1823567189117916
500,6,2,3,True,1.2460243712815648,1.1775541634747382
1000,6,2,3,True,1.244949027202982,1.1808281108189487
10,6,3,3,True,1.4447070358724057,1.2607028608732105
50,6,3,3,True,1.3125413959681012,1.2077846185712862
100,6,3,3,True,1.2476540417417727,1.1866831434573786
500,6,3,3,True,1.24153052105709,1.1750501963414584
1000,6,3,3,True,1.2482568305199617,1.1806766954749337
10,6,4,3,True,1.6219772056770814,1.3304886195849084
50,6,4,3,True,1.305534337926269,1.2080092761653316
100,6,4,3,True,1.2595405754206914,1.195158999642789
500,6,4,3,True,1.247294912478439,1.1823475617900066
1000,6,4,3,True,1.2446602286338264,1.176556014694466
10,6,5,3,True,1.5523562491308964,1.283301701410884
50,6,5,3,True,1.263291103110025,1.1930513556018938
100,6,5,3,True,1.2645973140306086,1.1913509192432292
500,6,5,3,True,1.2508397360879449,1.1828588071456687
1000,6,5,3,True,1.2512076186155994,1.1827204726922649
10,7,2,10,True,1.3835145625738385,1.1851765563184407
50,7,2,10,True,1.2715554193120997,1.122282002600289
100,7,2,10,True,1.294549114290834,1.1288762599622963
500,7,2,10,True,1.26296046489353,1.1203769548523752
1000,7,2,10,True,1.2737126548673865,1.1241340094785555
10,7,3,10,True,1.4499857705235966,1.222504383048106
50,7,3,10,True,1.2858588612415294,1.1370625447027083
100,7,3,10,True,1.281997852394033,1.1323907896820669
500,7,3,10,True,1.2682353075449115,1.1249263933543014
1000,7,3,10,True,1.2613223262557687,1.1218785632138528
10,7,4,10,True,1.4059118505985237,1.2044368034105042
50,7,4,10,True,1.3074156729100626,1.136403737950787
100,7,4,10,True,1.2823988937576407,1.1312572650345853
500,7,4,10,True,1.2736490771592848,1.124932225778337
1000,7,4,10,True,1.264152456259649,1.1218255089691065
10,7,5,10,True,1.4379014816114786,1.1809449155981202
50,7,5,10,True,1.26876736252874,1.1277623691978393
100,7,5,10,True,1.3177415859861465,1.149976403581857
500,7,5,10,True,1.2749279500254749,1.1242762531965598
1000,7,5,10,True,1.2807465834143656,1.1275344042632713
10,7,2,3,True,1.4462878653730171,1.235698009515981
50,7,2,3,True,1.1842333797634408,1.1300646603651563
100,7,2,3,True,1.2077403647663223,1.1420199539797655
500,7,2,3,True,1.175721660440621,1.1317530032041234
1000,7,2,3,True,1.1827781363236165,1.1317752173108022
10,7,3,3,True,1.3907482748910338,1.2341403637675399
50,7,3,3,True,1.2192324520536173,1.155286802478508
100,7,3,3,True,1.212616893025658,1.1550333010261244
500,7,3,3,True,1.1881223740070808,1.135420678255381
1000,7,3,3,True,1.1780456106449637,1.1303209824405474
10,7,4,3,True,1.4005375290421647,1.2354059982650292
