C,degree,epsilon,validation_loss,mee
0.1,2,0.001,2.074828212650058,1.5689414493950438
0.1,2,0.01,2.074863719922812,1.568377500904527
0.1,3,0.001,1.8498341587886005,1.4405895374023079
0.1,3,0.01,1.8493694951678916,1.4400971858013472
0.1,4,0.001,1.7394054590031216,1.3798399152623126
0.1,4,0.01,1.7384894937371094,1.3792321772365927
0.1,5,0.001,1.5150956613838027,1.2838112391734255
0.1,5,0.01,1.5146142849012454,1.2828232952157907
1.0,2,0.001,1.7758963707416984,1.4403228659163383
1.0,2,0.01,1.7755433254965491,1.4400174064824942
1.0,3,0.001,1.4793270227868796,1.296655770056594
1.0,3,0.01,1.4778173042402023,1.2958056448625577
1.0,4,0.001,1.307754225421168,1.1933990962298173
1.0,4,0.01,1.307266629403071,1.1930218697655364
1.0,5,0.001,1.3074189321460628,1.1772067774396031
1.0,5,0.01,1.3066961905244412,1.1762691847464306
10.0,2,0.001,1.7592206820288308,1.447479116748822
10.0,2,0.01,1.7597302867480775,1.447727051895519
10.0,3,0.001,1.4240724742439594,1.2868627710056535
10.0,3,0.01,1.420912413061322,1.2855321064651581
10.0,4,0.001,1.406410337367112,1.2422845283887773
10.0,4,0.01,1.4013955769677664,1.239611410512158
10.0,5,0.001,1.828226791313645,1.400380097077528
10.0,5,0.01,1.8208812926954883,1.396694795230866
100.0,2,0.001,1.8578467388248647,1.4965917516228462
100.0,2,0.01,1.8530414411407,1.4946635850549985
100.0,3,0.001,1.615306922819041,1.3960424226991317
100.0,3,0.01,1.611389416863167,1.394187488654993
100.0,4,0.001,2.3257965510265763,1.620777964289878
100.0,4,0.01,2.3135044243245764,1.6152469526470208
100.0,5,0.001,3.89113779407037,1.9223058559781898
100.0,5,0.01,3.8727937533785397,1.9173500359451654
