C,degree,epsilon,gamma,coef0,validation_loss,mee
1,5,0.01,0.01,0.0,41.435763022295006,8.421045826877517
1,5,0.01,0.1,0.0,7.964980268510007,3.2842143691664845
1,5,0.01,1.0,0.0,163.03054919019092,10.789952490806407
1,5,0.01,0.01,0.5,5.881427532512767,2.676298141302265
1,5,0.01,0.1,0.5,1.4515166110640925,1.2431331061790614
1,5,0.01,1.0,0.5,24.565242120065236,4.352205434490533
1,5,0.01,0.01,1.0,1.9690255720344114,1.5605320457258354
1,5,0.01,0.1,1.0,1.3066961905244412,1.1762691847464306
1,5,0.01,1.0,1.0,21.75512789069064,3.920138145075487
1,5,0.01,0.01,2.0,1.7142624763672814,1.4150455089978227
1,5,0.01,0.1,2.0,1.4132137758972518,1.2427480631848438
1,5,0.01,1.0,2.0,19.455082912491488,3.6327589835853895
